platform,thread_count,measured_sample_count,serial_total_ms_median,serial_total_ms_coefficient_of_variation,parallel_total_ms_median,parallel_total_ms_coefficient_of_variation,symbolic_total_ms_median,symbolic_total_ms_coefficient_of_variation,numeric_total_ms_median,numeric_total_ms_coefficient_of_variation,symbolic_pattern_ms_median,symbolic_pattern_ms_coefficient_of_variation,symbolic_scatter_ms_median,symbolic_scatter_ms_coefficient_of_variation,symbolic_residual_ms_median,symbolic_residual_ms_coefficient_of_variation,numeric_reset_ms_median,numeric_reset_ms_coefficient_of_variation,numeric_kernel_ms_median,numeric_kernel_ms_coefficient_of_variation,numeric_residual_ms_median,numeric_residual_ms_coefficient_of_variation,fixed_residual_ms_median,fixed_residual_ms_coefficient_of_variation,official_total_speedup,candidate_p1_to_p_total_speedup,official_serial_symbolic_ms_median,official_serial_numeric_ms_median,official_symbolic_phase_speedup,official_numeric_phase_speedup,symbolic_total_ms_p1_to_p_speedup,numeric_total_ms_p1_to_p_speedup,symbolic_pattern_ms_p1_to_p_speedup,symbolic_scatter_ms_p1_to_p_speedup,symbolic_residual_ms_p1_to_p_speedup,numeric_reset_ms_p1_to_p_speedup,numeric_kernel_ms_p1_to_p_speedup,numeric_residual_ms_p1_to_p_speedup,fixed_residual_fraction_of_parallel_total_median,fixed_residual_fraction_of_parallel_total_coefficient_of_variation,symbolic_residual_fraction_of_symbolic_total_median,symbolic_residual_fraction_of_symbolic_total_coefficient_of_variation,numeric_residual_fraction_of_numeric_total_median,numeric_residual_fraction_of_numeric_total_coefficient_of_variation
linux,1,7,3634.676867,0.01036403265864923,4108.05023,0.012645761680733378,3537.367644,0.01167547921899487,570.682586,0.01996872985812594,1771.680581,0.012911733805705185,1178.649888,0.011311150196175127,587.0371749999999,0.009709384898002046,6.038518,0.023280272217178693,407.611991,0.023239175310929863,157.05241800000005,0.014621382989941369,744.1728499999999,0.010252431037716982,0.8847693342347472,1.0,3488.228064,147.101985,0.9861084328954755,0.25776497935754433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18115348534343897,0.0030869600614444204,0.16662896513901634,0.003909811713276058,0.2741061622140338,0.011177828769005438
windows,1,7,3069.4513,0.01961117448852321,3818.0427,0.013830248928497369,3149.9594,0.012846025855477925,672.2327,0.022467936537605804,1542.6835,0.018504643226652146,979.3736,0.019959489475478875,632.8084,0.023743639669824096,1.7552,0.021077494248322712,434.6825,0.01635089852419964,235.79280000000006,0.044901746543324926,866.7718,0.026436641441282466,0.8039332037852799,1.0,2982.6783,84.7985,0.9468942044141901,0.12614456273846839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22775673193076762,0.017440460649946043,0.2021677875865258,0.017025406849444546,0.34681086090166097,0.02551145431758587
linux,2,7,3628.6076359999997,0.012528139344916398,2682.759348,0.006962320808357806,2308.601177,0.0061334568700740135,374.158171,0.012886507203773684,1015.357276,0.0038107119834369426,701.815326,0.009246426068973069,588.25339,0.009829376048967943,6.047563,0.008569534225615207,214.301573,0.01643143354617461,154.43913599999996,0.008392315074562218,741.5868899999998,0.009245273509673014,1.3548277707837102,1.5312779482298908,3488.228064,147.101985,1.510970408727293,0.3931545437237024,1.5322558435999618,1.5252442155005084,1.7448839170971777,1.6794302494328828,0.9979324981025608,0.9985043562175375,1.9020485257940687,1.016921112534585,0.27737837168330576,0.004295735067794884,0.25546663007991594,0.0056616243043899565,0.41126140466097694,0.004888251380681969
windows,2,7,3054.8995,0.02121859291331276,2690.5386,0.01128600353504111,2184.59,0.018720969699238966,519.9621,0.04599783064776429,951.1541,0.01929925633335851,574.6371,0.05387078178716591,661.9485000000001,0.0141164842310016,1.7588,0.022655584613137072,277.6654,0.07792663732291912,233.4077,0.041471500135959204,893.5596,0.016788960963624176,1.1408315420563007,1.4190625995850794,2982.6783,84.7985,1.3653263541442557,0.16308592491645066,1.4418995784105941,1.2928494211405024,1.6219070074975235,1.7043340918990437,0.9559782974053116,0.9979531498749148,1.5654903347698346,1.0102186003289526,0.33146248152860996,0.009232042613705008,0.3018667584308197,0.008094090698002,0.4752713324934571,0.04647142012327756
linux,3,7,3623.642865,0.011582974413936027,2224.655283,0.006336778866350645,1905.956083,0.007049554952533291,316.738394,0.005220910560921409,765.01274,0.005672886903176139,551.001883,0.006620273757612415,591.755098,0.0100594584956187,5.971714,0.016903711723425637,155.75168,0.008610492090839958,155.631479,0.005195808107828054,748.000275,0.0076643277119476175,1.6338157622778091,1.8466008021072808,3488.228064,147.101985,1.8301723188235706,0.4644273879850512,1.8559544343918652,1.8017474256688943,2.3158837603148936,2.1391031943170327,0.992027237254152,1.0111867380119006,2.617063205995595,1.0091301516192623,0.3356623177689855,0.002050825147668737,0.31027250762822306,0.0034157320140160035,0.49020664172406603,0.004363006301646732
windows,3,7,3065.8981,0.006117011490954306,2220.2267,0.0375078245121023,1789.1171,0.03880543150786192,431.1096,0.04009221604043976,709.4365,0.05173158652283844,423.9111,0.034291602138142994,654.8499000000002,0.047798654242807846,1.7406,0.029783400846844943,191.6755,0.019126504118914707,231.382,0.08375388536508215,886.2319000000002,0.057001469228326454,1.3824945443634202,1.7196634469804366,2982.6783,84.7985,1.667123018387114,0.19669824100414374,1.7606222644677647,1.559308120255267,2.174519495402337,2.310327802220796,0.9663411416875834,1.008387912214179,2.2678041794595556,1.01906284844975,0.4064546650943626,0.031420298600385435,0.3712851459652303,0.030809845073475103,0.5455657077025771,0.04202288411983341
linux,4,7,3617.797093,0.011313300895828503,1982.5902640000002,0.005019475590904519,1693.251403,0.004263444503726683,289.391091,0.015925818353151808,634.065171,0.004424614089767529,469.005259,0.006752202229156096,593.770967,0.006872110572624536,5.959008,0.01472459004716809,127.132856,0.01877277908611016,156.133383,0.017366212140833993,751.264843,0.00787686250918511,1.8332970422576431,2.0720621424377175,3488.228064,147.101985,2.0600768780228202,0.5083155272392266,2.089097719176672,1.9720115917459256,2.7941616446237516,2.5130845878212207,0.9886592771047358,1.0133428248460146,3.206189208869814,1.0058862171711225,0.3780187583736923,0.003824033147653096,0.3505763177268613,0.003582950173043493,0.5391669748894579,0.006935008391725555
windows,4,7,3070.9895,0.010991631836249788,1976.0941,0.036178151538457264,1589.4063,0.036024143547342215,388.6874,0.04751521891646488,591.3394,0.04536998910976773,333.5853,0.05280164880608196,658.9954,0.02292654169502305,1.7814,0.017438967537368334,153.9396,0.07244316914902249,232.38959999999994,0.050171579746724315,891.385,0.026171943122941892,1.5532920724777226,1.9321158339575022,2982.6783,84.7985,1.876599016878189,0.21816632080175483,1.9818465549054385,1.7294944472087337,2.608795388908637,2.9359015520168303,0.9602622415877258,0.9852924665993039,2.823721121790624,1.0146443730700518,0.45541573914249844,0.021071981872467074,0.4162699388533724,0.01968248213069681,0.6121796114075088,0.028892246760383385
linux,5,7,3625.843275,0.017066061282576626,1879.401141,0.006581684858501599,1605.880943,0.00653154570282159,272.540493,0.014986186758115248,587.325186,0.007732648583720809,424.044694,0.014426635523179337,592.870829,0.01046803004601173,6.010232,0.014835618424745619,111.463709,0.021818602097883215,155.966227,0.014531295631629252,750.08317,0.008491668498478827,1.9339548049151685,2.1858293795725645,3488.228064,147.101985,2.172158577013514,0.5397435932575347,2.2027583423411983,2.093936866842022,3.0165241049274534,2.7795416489753317,0.9901603288361485,1.0047063075102591,3.6569031719552774,1.0069642705404422,0.3992041861807086,0.0039389526869307275,0.370272394025297,0.005796679953660044,0.569219694702139,0.007877881527723493
windows,5,7,3106.7999,0.021563337797617113,1827.3582000000001,0.02930529579265388,1466.9002,0.030305505203956678,361.6841,0.03961020724440937,518.7394,0.03618637332496673,272.7443,0.05785885564345889,669.9100000000001,0.02023587099615381,1.7603,0.03340208600603701,124.8735,0.051838175604414206,236.32800000000003,0.04131549118375745,911.3282,0.016394520220920757,1.6797206480918738,2.08937837146543,2982.6783,84.7985,2.033320535371118,0.23445459725766216,2.1473576730032486,1.8586183357244623,2.973908478900966,3.590812346949139,0.9446170381095967,0.9971027665738795,3.480982754547602,0.9977353508682849,0.49789707349111967,0.015336734599922573,0.4604379357232346,0.01724527174285804,0.6503387357195569,0.015700489592899897
