row,row_offset_begin,row_offset_end,p,col,value
0,0,27,0,0,1328170423127.5444
0,0,27,1,1,289222310834.55664
0,0,27,2,2,-104487046878.24892
0,0,27,3,3,-87267320863.437485
0,0,27,4,4,29720096148.076813
0,0,27,5,5,73226652548.955658
0,0,27,6,45,-144779092093.32062
0,0,27,7,46,-188134478241.96695
0,0,27,8,47,-82072390082.850647
0,0,27,9,90,-52890786171.903419
0,0,27,10,91,-10452307606.730656
0,0,27,11,92,-55127060774.300003
0,0,27,12,93,57771834244.792297
0,0,27,13,94,118030857718.04071
0,0,27,14,95,114001479498.10504
0,0,27,15,96,-896218999836.6543
0,0,27,16,97,54653941119.314728
0,0,27,17,98,10487837460.61726
0,0,27,18,99,-17570833592.371674
0,0,27,19,100,-33174134498.076942
0,0,27,20,101,-133463731336.93126
0,0,27,21,144,220751928350.24152
0,0,27,22,145,34458977820.776794
0,0,27,23,146,-5126580536.7056465
0,0,27,24,26868,-407967153164.89093
0,0,27,25,26869,-294325263293.99121
0,0,27,26,26870,182560840101.35849
1,27,54,27,0,289222310834.5567
1,27,54,28,1,847291046166.18933
1,27,54,29,2,34850094598.801987
1,27,54,30,3,44580144222.115211
1,27,54,31,4,-66993378241.136368
1,27,54,32,5,-42615560444.422203
1,27,54,33,45,-132539995188.12082
1,27,54,34,46,-380338563450.26776
1,27,54,35,47,-91232929105.894043
1,27,54,36,90,-6968205071.1537666
1,27,54,37,91,-16477484542.921295
1,27,54,38,92,-26005695323.461761
1,27,54,39,93,79023441913.233032
1,27,54,40,94,31866671632.064972
1,27,54,41,95,-29446988718.28336
1,27,54,42,96,-6181727823.9544067
1,27,54,43,97,-331414156481.37598
1,27,54,44,98,-9482494580.6457138
1,27,54,45,99,-49761201747.115402
1,27,54,46,100,-7.6249523162841797
1,27,54,47,101,-36432101943.462662
1,27,54,48,144,76950496154.430679
1,27,54,49,145,8259269474.2774124
1,27,54,50,146,81916247235.103134
1,27,54,51,26868,-294325263293.99127
1,27,54,52,26869,-92193404549.20549
1,27,54,53,26870,118449428282.26459
2,54,81,54,0,-104487046878.24895
2,54,81,55,1,34850094598.801987
2,54,81,56,2,794528917373.08008
2,54,81,57,3,100149729472.03259
2,54,81,58,4,-28410373629.614807
2,54,81,59,5,-214202881221.67615
2,54,81,60,45,-55149313159.773743
2,54,81,61,46,-78988547402.144379
2,54,81,62,47,-113223284793.26041
2,54,81,63,90,-82050137697.376923
2,54,81,64,91,-39008542985.192642
2,54,81,65,92,-21257894271.242439
2,54,81,66,93,114001479498.10504
2,54,81,67,94,-53835404403.187256
2,54,81,68,95,-98748847619.205063
2,54,81,69,96,10487837460.617283
2,54,81,70,97,-22070401756.895241
2,54,81,71,98,-316454804161.05011
2,54,81,72,99,-133463731336.93124
2,54,81,73,100,-24288067962.308441
2,54,81,74,101,17570833558.059387
2,54,81,75,144,-32049657459.782558
2,54,81,76,145,93301815258.276138
2,54,81,77,146,33236839608.594986
2,54,81,78,26868,182560840101.35846
2,54,81,79,26869,118449428282.26459
2,54,81,80,26870,-81448878473.300354
3,81,102,81,0,-87267320863.437485
3,81,102,82,1,44580144222.115211
3,81,102,83,2,100149729472.03258
3,81,102,84,3,940902392992.46521
3,81,102,85,4,131334883391.81142
3,81,102,86,5,-188602276903.90723
3,81,102,87,6,-182404159922.53937
3,81,102,88,7,32026809819.157852
3,81,102,89,8,101716093035.90375
3,81,102,90,45,-36595991064.237434
3,81,102,91,46,-53087717544.306435
3,81,102,92,47,91056824756.529282
3,81,102,93,69,-6620540320.7569656
3,81,102,94,70,-68336517112.789009
3,81,102,95,71,-82998786554.374557
3,81,102,96,99,-719548804534.65991
3,81,102,97,100,-72121030515.369904
3,81,102,98,101,95844552808.968964
3,81,102,99,102,91534423713.166016
3,81,102,100,103,-14396572260.619156
3,81,102,101,104,-117166136615.15279
