算法,原始后端,线程数,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号预处理_ms,数值组装_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,rel_L2,isolated_peak_rss_mb,symbolic_csr_ms,symbolic_plan_ms,symbolic_temporary_GiB,numeric_backend_extra_bytes_GiB,CPU型号,平台,数据口径,内存口径
图着色,cpu_graph_coloring,1,2.94532012890625,2.8227119443359374,0.12260818457031242,3594.763818,1341.158984,4935.922802,0.8512834713090393,4201.869497,1.225939172e-16,3016.007812,2079.772027,1514.991791,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,2,3.26207733203125,2.8227119443359374,0.43936538769531275,2141.055913,728.848873,2869.904786,1.4641145997238667,4201.869497,1.225939172e-16,3340.367188,1242.979777,898.076136,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,3,3.3966598515625,2.8227119443359374,0.5739479072265627,1614.266572,549.40292,2163.669492,1.9420107888640505,4201.869497,1.225939172e-16,3478.179688,928.020201,686.246371,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,4,3.464027404296875,2.8227119443359374,0.6413154599609374,1337.949753,435.204478,1773.154231,2.3697146156486824,4201.869497,1.225939172e-16,3547.164062,754.639106,583.310647,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,5,3.508819580078125,2.8227119443359374,0.6861076357421876,1177.547784,355.263356,1532.81114,2.741283245762423,4201.869497,1.225939172e-16,3593.03125,653.674711,523.873073,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,6,3.42874526953125,2.8227119443359374,0.6060333251953125,1054.515582,309.489029,1364.004611,3.080539070846293,4201.869497,1.225939172e-16,3511.035156,570.59444,483.921142,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,7,3.45250701953125,2.8227119443359374,0.6297950751953127,985.488837,272.631632,1258.120469,3.3397990101375576,4201.869497,1.225939172e-16,3535.367188,536.128596,449.360241,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,8,3.467964171875,2.8227119443359374,0.6452522275390624,932.130386,241.874886,1174.005272,3.5790891209899094,4201.869497,1.225939172e-16,3551.195312,503.72994,428.400446,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,9,3.47745132421875,2.8227119443359374,0.6547393798828125,1001.623145,241.124971,1242.748116,3.3811111382123387,4201.869497,1.225939172e-16,3560.910156,541.532458,460.090687,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
图着色,cpu_graph_coloring,10,3.587547302734375,2.8227119443359374,0.7648353583984377,931.111481,236.25722,1167.368701,3.599436487718544,4201.869497,1.225939172e-16,3673.648438,486.146853,444.964628,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
