算法,原始后端,线程数,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号预处理_ms,数值组装_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,rel_L2,isolated_peak_rss_mb,symbolic_csr_ms,symbolic_plan_ms,symbolic_temporary_GiB,numeric_backend_extra_bytes_GiB,CPU型号,平台,数据口径,内存口径
按行分配,cpu_row_owner,1,4.840007782226563,2.8227119443359374,2.017295837890625,3586.953822,829.448062,4416.401884,0.9514237171718406,4201.869497,0.0,4956.167969,2089.413839,1497.539983,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,2,5.64251708984375,2.8227119443359374,2.8198051455078126,2135.049808,469.901587,2604.951395,1.6130318228068128,4201.869497,0.0,5777.9375,1248.373754,886.676054,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,3,5.4779739375,2.8227119443359374,2.6552619931640624,1616.602123,353.722121,1970.324244,2.1325776758802344,4201.869497,0.0,5609.445312,931.457314,685.144809,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,4,5.294105529296875,2.8227119443359374,2.4713935849609374,1321.371036,285.291877,1606.662913,2.6152775812532867,4201.869497,0.0,5421.164062,739.40602,581.965016,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,5,5.233760833984375,2.8227119443359374,2.4110488896484377,1179.087944,255.108304,1434.196248,2.929773036890555,4201.869497,0.0,5359.371094,655.365417,523.722527,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,6,5.221138,2.8227119443359374,2.3984260556640624,1067.59403,215.032663,1282.626693,3.275987877012006,4201.869497,0.0,5346.445312,585.972697,481.621333,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,7,5.244510650390625,2.8227119443359374,2.4217987060546875,985.002979,200.716054,1185.719033,3.5437311707553567,4201.869497,0.0,5370.378906,535.297215,449.705764,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,8,5.2602996826171875,2.8227119443359374,2.43758773828125,926.071551,182.938802,1109.010353,3.7888460514669333,4201.869497,0.0,5386.546875,498.587505,427.484046,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,9,5.26988983203125,2.8227119443359374,2.4471778876953127,981.940076,201.629236,1183.569312,3.5501676618327185,4201.869497,0.0,5396.367188,521.464565,460.475511,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
按行分配,cpu_row_owner,10,5.383811951171875,2.8227119443359374,2.5611000068359377,934.270911,199.778775,1134.049686,3.705189947912035,4201.869497,0.0,5513.023438,488.036671,446.23424,0.1394679844379425,0.0,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss
