算法,原始后端,线程数,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号组装_ms,数值组装_ms,后端准备_ms,实际累加_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,rel_L2,isolated_peak_rss_mb,symbolic_csr_ms,symbolic_plan_ms,symbolic_temporary_GiB,numeric_backend_extra_bytes_GiB,CPU型号,平台,数据口径,内存口径,内存测量来源,重复次数,成功次数
互斥锁,cpu_lock_guard,1,3.969940185546875,3.0273017880859374,0.9426383974609376,3540.58829,2886.021721,412.921249,2473.100472,6426.610011,0.6538587477390964,4202.095174,0.0,4065.21875,2050.727401,1498.766328,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,2,4.246280669921875,3.0273017880859374,1.2189788818359375,2105.950476,2163.003421,415.426161,1747.57726,4268.953897,0.9843383825140428,4202.095174,8.717229398e-18,4348.191406,1221.604337,884.346139,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,3,4.380756377929687,3.0273017880859374,1.35345458984375,1603.007868,1693.000475,413.973275,1279.0272,3296.008343,1.2749042892820128,4202.095174,1.396430544e-17,4485.894531,917.469754,685.538114,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,4,4.448341369140625,3.0273017880859374,1.4210395810546874,1318.037701,1461.403662,416.44212,1044.961542,2779.441363,1.5118488304658653,4202.095174,1.706272386e-17,4555.101562,734.359763,582.195312,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,5,4.4928741455078125,3.0273017880859374,1.465572357421875,1168.792305,1325.882851,415.550816,910.332035,2494.675156,1.6844257914275715,4202.095174,9.15564877e-17,4600.703125,650.107628,518.684677,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,6,4.515598296875,3.0273017880859374,1.4882965087890625,1044.062079,1221.6178,415.70457,805.91323,2265.679879,1.8546729451711745,4202.095174,1.514083137e-17,4623.972656,565.183078,478.693468,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,7,4.53909683203125,3.0273017880859374,1.5117950439453125,996.224574,1149.253173,415.82516,733.428013,2145.477747,1.958582502137693,4202.095174,1.091490089e-16,4648.035156,546.508878,449.715696,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,8,4.554691314453125,3.0273017880859374,1.5273895263671875,922.766911,1094.794541,412.298722,682.495819,2017.561452,2.0827594469722253,4202.095174,9.831575161e-17,4664.003906,496.556341,425.655214,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,9,4.56412124609375,3.0273017880859374,1.5368194580078125,977.656262,1056.913354,414.273177,642.640177,2034.569616,2.0653484358335175,4202.095174,1.164542973e-16,4673.660156,518.270416,458.859545,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
互斥锁,cpu_lock_guard,10,4.571624755859375,3.0273017880859374,1.5443229677734376,932.255812,1030.516541,412.279197,618.237344,1962.772353,2.140897882312896,4202.095174,1.282767167e-16,4681.34375,485.981207,446.865135,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
