算法,原始后端,线程数,峰值内存_GiB,基础内存_GiB,额外内存_GiB,符号组装_ms,数值组装_ms,后端准备_ms,实际累加_ms,总耗时_ms,整体加速比,串行基线总耗时_ms,rel_L2,isolated_peak_rss_mb,symbolic_csr_ms,symbolic_plan_ms,symbolic_temporary_GiB,numeric_backend_extra_bytes_GiB,CPU型号,平台,数据口径,内存口径,内存测量来源,重复次数,成功次数
线程私有,cpu_private_csr,1,3.1501045224609374,3.0273017880859374,0.122802734375,3562.10169,803.089392,66.833454,736.255938,4365.191082,0.9626371664066365,4202.095174,0.0,3225.707031,2053.389821,1499.61615,0.1394679844379425,0.2049073576927185,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,2,3.631656646484375,3.0273017880859374,0.6043548583984375,2119.901203,575.555267,132.382732,443.172535,2695.45647,1.5589549379738268,4202.095174,8.361934979e-18,3718.816406,1231.086876,891.649055,0.1394679844379425,0.409814715385437,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,3,3.971012115234375,3.0273017880859374,0.9437103271484375,1600.476513,548.856183,198.384207,350.471976,2149.332696,1.9550696743320748,4202.095174,1.295314281e-17,4066.316406,917.584126,682.736419,0.1394679844379425,0.6147220730781555,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,4,4.243431091796875,3.0273017880859374,1.2161293037109377,1327.462321,572.760066,264.756988,308.003078,1900.222387,2.2113702073756274,4202.095174,1.596975678e-17,4345.273438,746.64868,582.562855,0.1394679844379425,0.819629430770874,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,5,4.492908477539062,3.0273017880859374,1.465606689453125,1168.614942,617.64035,332.150201,285.490149,1786.255292,2.352460587699689,4202.095174,6.920675397e-17,4600.738281,647.850865,520.764077,0.1394679844379425,1.0245367884635925,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,6,4.720523833984375,3.0273017880859374,1.6932220458984375,1057.676742,672.11409,398.936834,273.177256,1729.790832,2.42925045980357,4202.095174,1.405209813e-17,4833.816406,578.664786,480.537517,0.1394679844379425,1.229444146156311,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,7,4.948841094726562,3.0273017880859374,1.921539306640625,977.837545,733.390081,464.572513,268.817568,1711.227626,2.455602697241635,4202.095174,8.265713991e-17,5067.613281,526.106731,450.988937,0.1394679844379425,1.4343515038490295,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,8,5.1695098876953125,3.0273017880859374,2.142208099609375,937.299296,803.224263,530.424907,272.799356,1740.523559,2.41427078207104,4202.095174,7.388096298e-17,5293.578125,501.063258,425.256192,0.1394679844379425,1.639258861541748,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,9,5.383861541992188,3.0273017880859374,2.35655975390625,976.097552,894.766801,595.417662,299.349139,1870.864353,2.2460715376086915,4202.095174,8.851448216e-17,5513.074219,515.888002,459.270049,0.1394679844379425,1.8441662192344666,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,10,5.5962448125,3.0273017880859374,2.5689430244140627,931.098852,981.992654,666.163006,315.829648,1913.091506,2.1964946061498014,4202.095174,9.677662906e-17,5730.554688,484.583269,445.734567,0.1394679844379425,2.049073576927185,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,11,5.806644439453125,3.0273017880859374,2.7793426513671875,894.195197,1059.140208,728.451224,330.688984,1953.335405,2.151240981576331,4202.095174,1.038038833e-16,5946.003906,463.700541,431.610664,0.1394679844379425,2.2539809346199036,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,12,6.0165061953125,3.0273017880859374,2.9892044072265627,858.962092,1140.719309,794.811784,345.907525,1999.681401,2.101382336155458,4202.095174,1.932444198e-17,6160.902344,439.056587,419.905505,0.1394679844379425,2.458888292312622,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,13,6.225975037109375,3.0273017880859374,3.1986732490234377,846.404454,1223.000591,863.388358,359.612233,2069.405045,2.030581293958332,4202.095174,1.128468268e-16,6375.398438,435.529141,410.458199,0.1394679844379425,2.6637956500053406,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,14,6.434436797851562,3.0273017880859374,3.407135009765625,814.053721,1302.035448,931.593355,370.442093,2116.089169,1.9857836028648,4202.095174,1.157088542e-16,6588.863281,415.286634,398.609752,0.1394679844379425,2.868703007698059,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,15,6.6425018310546875,3.0273017880859374,3.61520004296875,799.873061,1383.668574,998.099725,385.568849,2183.541635,1.9244401419439845,4202.095174,1.179049605e-16,6801.921875,408.125635,390.637582,0.1394679844379425,3.0736103653907776,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,16,6.850982666015625,3.0273017880859374,3.8236808779296876,784.780263,1465.977469,1064.865292,401.112177,2250.757732,1.8669691163366844,4202.095174,1.194496172e-16,7015.40625,401.595043,381.385591,0.1394679844379425,3.278517723083496,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
线程私有,cpu_private_csr,17,7.059741973632812,3.0273017880859374,4.032440185546875,774.808739,1541.337486,1129.805896,411.53159,2316.146225,1.814261607770468,4202.095174,1.262316024e-16,7229.175781,400.533698,374.16104,0.1394679844379425,3.4834250807762146,Intel Core Ultra 7 265KF,Linux;x86_64;GCC 13.3;OpenMP 201511,mesh_ready_to_matrix_assembled,process_ru_maxrss,resource.getrusage(RUSAGE_CHILDREN).ru_maxrss,3,3
