case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_serial,1,1,3,4.2e-05,0.456625,0.456625,0.456625,0.434208,0.492625,0.02571004848,0.456625,0.434208,0.492625,0.02571004848,1,1,9.197919518e-05,0,0,0,8.328125,0,0,0,0,0,0,0.456625,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,1,1,3,0,0.5387363333,0.5387363333,0.5387363333,0.535292,0.544792,0.004295485718,0.5387363333,0.535292,0.544792,0.004295485718,0.8475853061,0.8475853061,0,0,0,0,9.390625,0,0,0,0,0,0,0.5387363333,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,1,1,3,0.053375,0.3541113333,0.4074863333,0.3541113333,0.342709,0.370208,0.01170687332,0.4074863333,0.396084,0.423583,0.01170687332,1.289495582,1.289495582,0.1309859881,0,0,654984,10.0625,0,0.053375,0,0,0.002819333333,0,0.3265836667,0,0,0.02470833333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,1,1,3,0.001209,9.080833333,9.080833333,9.080833333,8.815125,9.514167,0.3090184662,9.080833333,8.815125,9.514167,0.3090184662,0.05028448197,0.05028448197,0.0001331375608,1.91871191e-16,3.552713679e-14,7077888,24.5625,0,0,0,0,0,0.5357363333,0,0.15175,8.252041667,0.1413053333,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,1,1,3,0.262625,0.413,0.675625,0.413,0.388458,0.432417,0.018308425,0.675625,0.651083,0.695042,0.018308425,1.10562954,1.10562954,0.3887141536,1.839370776e-16,2.842170943e-14,24576,24.796875,30,0,0.262625,0,0,0,0.413,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_row_owner,1,1,3,0.678959,0.5403886667,1.219347667,0.5403886667,0.521666,0.57375,0.02364887151,1.219347667,1.200625,1.252709,0.02364887151,0.8449936651,0.8449936651,0.5568215026,0,0,5308416,24.796875,0,0,0,0.678959,0,0,0.5403886667,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,2,2,3,0,0.2777223333,0.2777223333,0.2777223333,0.27175,0.282292,0.004416563244,0.2777223333,0.27175,0.282292,0.004416563244,1.644178178,0.822089089,0,7.549551517e-17,2.131628207e-14,0,24.859375,0,0,0,0,0,0,0.2777223333,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,2,2,3,0.048584,0.2265,0.275084,0.2265,0.187375,0.291,0.04595253439,0.275084,0.235959,0.339584,0.04595253439,2.016004415,1.008002208,0.176615143,6.005692014e-17,1.421085472e-14,1309968,25.484375,0,0.048584,0,0,0.006069333333,0,0.1865973333,0,0,0.03383333333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,2,2,3,0.00125,8.635819333,8.635819333,8.635819333,8.30275,9.125333,0.3535692483,8.635819333,8.30275,9.125333,0.3535692483,0.05287570089,0.02643785044,0.0001447459647,1.91871191e-16,3.552713679e-14,7077888,32.28125,0,0,0,0,0,0.3103193333,0,0.117028,8.073986,0.134486,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,2,2,3,0.301791,0.681903,0.983694,0.681903,0.626625,0.726875,0.04157062947,0.983694,0.928416,1.028666,0.04157062947,0.6696333643,0.3348166821,0.3067935761,1.839370776e-16,2.842170943e-14,24576,32.3125,30,0,0.301791,0,0,0,0.681903,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_row_owner,2,2,3,1.133959,0.2696946667,1.403653667,0.2696946667,0.259625,0.277417,0.007450785029,1.403653667,1.393584,1.411376,0.007450785029,1.693118391,0.8465591953,0.8078623858,0,0,5308416,37.421875,0,0,0,1.133959,0,0,0.2696946667,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,3,3,3,4.2e-05,0.222042,0.222042,0.222042,0.200417,0.264167,0.02979041373,0.222042,0.200417,0.264167,0.02979041373,2.056480306,0.6854934352,0.0001891534034,1.154862927e-16,2.131628207e-14,0,37.4375,0,0,0,0,0,0,0.222042,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,3,3,3,0.054875,0.1947913333,0.2496663333,0.1947913333,0.164458,0.25225,0.04065051535,0.2496663333,0.219333,0.307125,0.04065051535,2.344175134,0.7813917115,0.2197933509,8.603049102e-17,2.131628207e-14,1964952,38.109375,0,0.054875,0,0,0.009402333333,0,0.1604583333,0,0,0.02493066667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,3,3,3,0.001166,8.773403,8.773403,8.773403,8.477334,9.014,0.2225765127,8.773403,8.477334,9.014,0.2225765127,0.05204650921,0.0173488364,0.0001329016802,1.91871191e-16,3.552713679e-14,7077888,40.375,0,0,0,0,0,0.298458,0,0.122292,8.206999667,0.1456533333,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,3,3,3,0.278125,0.8330693333,1.111194333,0.8330693333,0.774292,0.87625,0.04306042614,1.111194333,1.052417,1.154375,0.04306042614,0.5481236456,0.1827078819,0.250293753,1.839370776e-16,2.842170943e-14,24576,40.375,30,0,0.278125,0,0,0,0.8330693333,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_row_owner,3,3,3,0.93875,0.657861,1.596611,0.657861,0.195917,1.535958,0.6211896973,1.596611,1.134667,2.474708,0.6211896973,0.6941055937,0.2313685312,0.5879641315,0,0,5308416,45.3125,0,0,0,0.93875,0,0,0.657861,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,4,4,3,4.1e-05,0.321375,0.321375,0.321375,0.2675,0.365875,0.04070485741,0.321375,0.2675,0.365875,0.04070485741,1.420847919,0.3552119798,0.0001275768184,1.132585132e-16,2.131628207e-14,0,46.28125,0,0,0,0,0,0,0.321375,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,4,4,3,0.024042,0.3274026667,0.3514446667,0.3274026667,0.3165,0.348458,0.01489151708,0.3514446667,0.340542,0.3725,0.01489151708,1.394689312,0.3486723281,0.06840906202,1.003880568e-16,1.421085472e-14,2619936,46.296875,0,0.024042,0,0,0.01458366667,0,0.252208,0,0,0.060611,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,4,4,3,0.001334,8.109125,8.109125,8.109125,7.921833,8.472417,0.2569275971,8.109125,7.921833,8.472417,0.2569275971,0.05631002112,0.01407750528,0.0001645060349,1.91871191e-16,3.552713679e-14,7077888,52.34375,0,0,0,0,0,0.3124306667,0,0.1229583333,7.542569333,0.1311666667,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,4,4,3,0.235166,0.796514,1.03168,0.796514,0.760959,0.817083,0.02524428636,1.03168,0.996125,1.052249,0.02524428636,0.5732793146,0.1433198287,0.2279447115,1.839370776e-16,2.842170943e-14,24576,52.34375,30,0,0.235166,0,0,0,0.796514,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
