case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_serial,1,1,3,0,203.7245697,203.7245697,203.7245697,203.242709,204.141333,0.3697382141,203.7245697,203.242709,204.141333,0.3697382141,1,1,0,0,0,0,2265.609375,0,0,0,0,0,0,203.7245697,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_atomic,1,1,3,0.000125,351.1390833,351.1390833,351.1390833,348.185542,353.521375,2.215479344,351.1390833,348.185542,353.521375,2.215479344,0.580181983,0.580181983,3.559842978e-07,0,0,0,2583.109375,0,0,0,0,0,0,351.1390833,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_private_csr,1,1,3,10.312625,203.7424023,214.0550273,203.7424023,202.450416,205.72125,1.420897048,214.0550273,212.763041,216.033875,1.420897048,0.9999124744,0.9999124744,0.04817744824,0,0,220017600,2793,0,10.312625,0,0,0.981708,0,195.855264,0,0,6.905430333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_coo_sort_reduce,1,1,3,0.548666,4302.129722,4302.129722,4302.129722,4262.9225,4330.128125,28.55844563,4302.129722,4262.9225,4330.128125,28.55844563,0.04735435304,0.04735435304,0.0001275335788,1.785376261e-16,7.105427358e-14,2565927936,7687.171875,0,0,0,0,0,178.078597,0,45.032764,3996.651264,82.36709733,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,3,211.2735,554.5872643,765.8607643,554.5872643,553.267584,555.587167,0.9735877432,765.8607643,764.541084,766.860667,0.9735877432,0.367344479,0.367344479,0.2758641124,1.390584941e-16,4.263256415e-14,8909472,7725.375,50,0,211.2735,0,0,0,554.5872643,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_row_owner,1,1,3,272.070417,265.5594443,537.6298613,265.5594443,264.9005,266.503083,0.6845223228,537.6298613,536.970917,538.5735,0.6845223228,0.7671524173,0.7671524173,0.5060552558,0,0,1924445952,7725.375,0,0,0,272.070417,0,0,265.5594443,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_atomic,2,2,3,4.2e-05,204.9717917,204.9717917,204.9717917,190.973583,220.099125,11.91722818,204.9717917,190.973583,220.099125,11.91722818,0.993915153,0.4969575765,2.049062442e-07,1.201748327e-17,4.263256415e-14,0,7725.4375,0,0,0,0,0,0,204.9717917,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_private_csr,2,2,3,23.118125,131.4445837,154.5627087,131.4445837,129.393584,132.86325,1.485379777,154.5627087,152.511709,155.981375,1.485379777,1.549889421,0.7749447105,0.1495711689,1.040235329e-17,4.263256415e-14,440035200,8145.109375,0,23.118125,0,0,1.822305667,0,124.3514723,0,0,5.270805667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_coo_sort_reduce,2,2,3,0.460625,4398.083167,4398.083167,4398.083167,4225.692167,4731.230917,235.6189107,4398.083167,4225.692167,4731.230917,235.6189107,0.04632121812,0.02316060906,0.0001047331264,1.785376261e-16,7.105427358e-14,2565927936,9533.453125,0,0,0,0,0,138.6572777,0,157.2425003,4021.055194,81.12819433,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,3,215.702916,321.5220133,537.2249293,321.5220133,319.167041,324.277583,2.105511585,537.2249293,534.869957,539.980499,2.105511585,0.6336255722,0.3168127861,0.4015132289,1.390584941e-16,4.263256415e-14,8909472,9533.453125,50,0,215.702916,0,0,0,321.5220133,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
