case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_serial,1,1,3,4.2e-05,0.3337776667,0.3337776667,0.3337776667,0.331459,0.335208,0.001654408723,0.3337776667,0.331459,0.335208,0.001654408723,1,1,0.0001258322656,0,0,0,8.328125,0,0,0,0,0,0,0.3337776667,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,1,1,3,4.1e-05,0.513681,0.513681,0.513681,0.510917,0.518167,0.003200477881,0.513681,0.510917,0.518167,0.003200477881,0.6497761581,0.6497761581,7.981607262e-05,0,0,0,9.390625,0,0,0,0,0,0,0.513681,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,1,1,3,0.0295,0.3424583333,0.3719583333,0.3424583333,0.341042,0.345208,0.001944603187,0.3719583333,0.370542,0.374708,0.001944603187,0.9746519041,0.9746519041,0.07930995855,0,0,654984,10.046875,0,0.0295,0,0,0.002680666667,0,0.3187083333,0,0,0.02106933333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,1,1,3,0.001125,8.025513667,8.025513667,8.025513667,7.994291,8.087,0.04347916597,8.025513667,7.994291,8.087,0.04347916597,0.04158957053,0.04158957053,0.0001401779433,1.91871191e-16,3.552713679e-14,7077888,23.59375,0,0,0,0,0,0.4593473333,0,0.108083,7.326833333,0.13125,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,1,1,3,0.280959,0.364222,0.645181,0.364222,0.358875,0.368708,0.004060210421,0.645181,0.639834,0.649667,0.004060210421,0.9164127007,0.9164127007,0.4354731463,1.839370776e-16,2.842170943e-14,24576,23.84375,30,0,0.280959,0,0,0,0.364222,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_row_owner,1,1,3,0.717958,0.4194306667,1.137388667,0.4194306667,0.416083,0.42575,0.004471079238,1.137388667,1.134041,1.143708,0.004471079238,0.7957874643,0.7957874643,0.6312336504,0,0,5308416,23.84375,0,0,0,0.717958,0,0,0.4194306667,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,2,2,3,0,0.2590833333,0.2590833333,0.2590833333,0.253458,0.267959,0.006350498686,0.2590833333,0.253458,0.267959,0.006350498686,1.288302348,0.644151174,0,7.549551517e-17,2.131628207e-14,0,23.90625,0,0,0,0,0,0,0.2590833333,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,2,2,3,0.038,0.1854163333,0.2234163333,0.1854163333,0.182541,0.18925,0.002821521142,0.2234163333,0.220541,0.22725,0.002821521142,1.80015245,0.9000762249,0.1700860426,6.005692014e-17,1.421085472e-14,1309968,24.53125,0,0.038,0,0,0.004721666667,0,0.1592503333,0,0,0.02144433333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,2,2,3,0.001,7.811472,7.811472,7.811472,7.762833,7.899166,0.06213233989,7.811472,7.762833,7.899166,0.06213233989,0.04272916381,0.0213645819,0.000128016845,1.91871191e-16,3.552713679e-14,7077888,31.3125,0,0,0,0,0,0.2804306667,0,0.1135276667,7.284736,0.1327776667,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,2,2,3,0.254625,0.6011526667,0.8557776667,0.6011526667,0.59575,0.605625,0.004084772236,0.8557776667,0.850375,0.86025,0.004084772236,0.5552294536,0.2776147268,0.2975363928,1.839370776e-16,2.842170943e-14,24576,31.34375,30,0,0.254625,0,0,0,0.6011526667,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
