case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_serial,1,1,3,0,1.069236,1.069236,1.069236,1.067583,1.071,0.001397190753,1.069236,1.067583,1.071,0.001397190753,1,1,0,0,0,0,8.328125,0,0,0,0,0,0,1.069236,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,1,1,3,0,1.269278,1.269278,1.269278,1.267542,1.270417,0.001247320595,1.269278,1.267542,1.270417,0.001247320595,0.8423970163,0.8423970163,0,0,0,0,9.390625,0,0,0,0,0,0,1.269278,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,1,1,3,0.032083,1.086861333,1.118944333,1.086861333,1.082917,1.091125,0.003358501286,1.118944333,1.115,1.123208,0.003358501286,0.9837832732,0.9837832732,0.02867256131,0,0,654984,10.046875,0,0.032083,0,0,0.002278,0,1.065958333,0,0,0.018625,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,1,1,3,0.001,8.707458667,8.707458667,8.707458667,8.690292,8.737084,0.02103626388,8.707458667,8.690292,8.737084,0.02103626388,0.1227954149,0.1227954149,0.0001148440708,9.08896086e-17,3.051757812e-05,7077888,23.59375,0,0,0,0,0,1.238444667,0,0.1055693333,7.231806,0.1316386667,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,1,1,3,0.274,1.120055667,1.394055667,1.120055667,1.118917,1.121667,0.001171376778,1.394055667,1.392917,1.395667,0.001171376778,0.9546275527,0.9546275527,0.1965488227,8.818781652e-17,3.051757812e-05,24576,23.828125,30,0,0.274,0,0,0,1.120055667,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,1,1,3,0.67675,1.17425,1.851,1.17425,1.173167,1.175083,0.0008019305872,1.851,1.849917,1.851833,0.0008019305872,0.9105692996,0.9105692996,0.3656131821,0,0,5308416,23.828125,0,0,0,0.67675,0,0,1.17425,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,2,2,3,0,0.6643053333,0.6643053333,0.6643053333,0.662375,0.666833,0.001868340856,0.6643053333,0.662375,0.666833,0.001868340856,1.609555044,0.804777522,0,3.20006597e-17,1.525878906e-05,0,23.890625,0,0,0,0,0,0,0.6643053333,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,2,2,3,0.032875,0.5872776667,0.6201526667,0.5872776667,0.583375,0.592042,0.003590364358,0.6201526667,0.61625,0.624917,0.003590364358,1.820665182,0.9103325911,0.05301114027,4.199513372e-17,1.525878906e-05,1309968,24.515625,0,0.032875,0,0,0.004972333333,0,0.5609996667,0,0,0.02130566667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,2,2,3,0.000958,8.059472333,8.059472333,8.059472333,8.013333,8.141667,0.05826602318,8.059472333,8.013333,8.141667,0.05826602318,0.1326682388,0.06633411939,0.0001188663427,9.08896086e-17,3.051757812e-05,7077888,31.296875,0,0,0,0,0,0.6517503333,0,0.11043,7.165194333,0.1320976667,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,2,2,3,0.270417,1.023528,1.293945,1.023528,1.017875,1.026417,0.003997600364,1.293945,1.288292,1.296834,0.003997600364,1.044657303,0.5223286515,0.2089864716,8.818781652e-17,3.051757812e-05,24576,31.359375,30,0,0.270417,0,0,0,1.023528,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,2,2,3,0.872625,0.676375,1.549,0.676375,0.675583,0.677042,0.0006021566795,1.549,1.548208,1.549667,0.0006021566795,1.580833118,0.7904165589,0.5633473209,0,0,5308416,36.46875,0,0,0,0.872625,0,0,0.676375,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,4,4,3,0,0.387806,0.387806,0.387806,0.386667,0.389459,0.00119637313,0.387806,0.386667,0.389459,0.00119637313,2.757141457,0.6892853643,0,5.542676848e-17,1.525878906e-05,0,36.515625,0,0,0,0,0,0,0.387806,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,4,4,3,0.01875,0.3668473333,0.3855973333,0.3668473333,0.363833,0.3705,0.002758964097,0.3855973333,0.382583,0.38925,0.002758964097,2.914662048,0.7286655121,0.04862585495,7.273770527e-17,1.525878906e-05,2619936,36.578125,0,0.01875,0,0,0.01230533333,0,0.329625,0,0,0.024917,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,4,4,3,0.000917,7.874555,7.874555,7.874555,7.783041,7.968708,0.0758212018,7.874555,7.783041,7.968708,0.0758212018,0.1357836729,0.03394591821,0.0001164510249,9.08896086e-17,3.051757812e-05,7077888,43.796875,0,0,0,0,0,0.4186106667,0,0.111875,7.215222667,0.1288466667,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,4,4,3,0.243,0.9900833333,1.233083333,0.9900833333,0.988708,0.990834,0.000973866977,1.233083333,1.231708,1.233834,0.000973866977,1.079945459,0.2699863648,0.197066973,8.818781652e-17,3.051757812e-05,24576,43.796875,30,0,0.243,0,0,0,0.9900833333,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,4,4,3,0.86125,0.5319303333,1.393180333,0.5319303333,0.531208,0.532333,0.000511889528,1.393180333,1.392458,1.393583,0.000511889528,2.010105333,0.5025263333,0.6181898921,0,0,5308416,47.640625,0,0,0,0.86125,0,0,0.5319303333,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
