case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_serial,1,1,3,0,432.231389,432.231389,432.231389,432.050875,432.348709,0.129541201,432.231389,432.050875,432.348709,0.129541201,1,1,0,0,0,0,2264.34375,0,0,0,0,0,0,432.231389,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,3,4.2e-05,566.6273887,566.6273887,566.6273887,538.530083,612.7185,32.85131236,566.6273887,538.530083,612.7185,32.85131236,0.7628141485,0.7628141485,7.412278481e-08,0,0,0,2581.84375,0,0,0,0,0,0,566.6273887,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,3,11.625625,518.906139,530.531764,518.906139,440.358917,599.276834,64.8907794,530.531764,451.984542,610.902459,64.8907794,0.8329664202,0.8329664202,0.02191315542,0,0,220017600,2791.734375,0,11.625625,0,0,0.8013196667,0,511.5215273,0,0,6.583292,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_coo_sort_reduce,1,1,3,0.430083,4204.285861,4204.285861,4204.285861,4200.390917,4210.207792,4.25631013,4204.285861,4200.390917,4210.207792,4.25631013,0.1028073264,0.1028073264,0.0001022963267,1.614852222e-16,0.005859375,2565927936,7685.890625,0,0,0,0,0,459.6446387,0,39.44419433,3630.183459,75.01356967,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,3,192.021166,803.677444,995.69861,803.677444,802.737833,804.349708,0.6846610196,995.69861,994.758999,996.370874,0.6846610196,0.5378169964,0.5378169964,0.192850692,1.228013142e-16,0.0048828125,8909472,7726.125,50,0,192.021166,0,0,0,803.677444,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,3,244.766917,478.9352497,723.7021667,478.9352497,478.490833,479.679791,0.5297555368,723.7021667,723.25775,724.446708,0.5297555368,0.9024839773,0.9024839773,0.3382149844,0,0,1924445952,7726.125,0,0,0,244.766917,0,0,478.9352497,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,3,4.1e-05,304.349139,304.349139,304.349139,303.891875,304.586875,0.3234199098,304.349139,303.891875,304.586875,0.3234199098,1.420182723,0.7100913616,1.347137046e-07,9.122166605e-18,0.00390625,0,7726.1875,0,0,0,0,0,0,304.349139,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,3,18.43875,247.512083,265.950833,247.512083,244.442458,250.070125,2.325789735,265.950833,262.881208,268.508875,2.325789735,1.746304196,0.8731520978,0.06933142413,8.298033569e-18,0.0029296875,440035200,8145.859375,0,18.43875,0,0,1.603833,0,240.1608197,0,0,5.747430333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_coo_sort_reduce,2,2,3,0.43625,4200.41375,4200.41375,4200.41375,3974.878291,4633.7975,306.5336469,4200.41375,3974.878291,4633.7975,306.5336469,0.1029020984,0.0514510492,0.0001038588163,1.614852222e-16,0.005859375,2565927936,10592.9375,0,0,0,0,0,233.208361,0,39.24609733,3822.106445,105.852847,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,3,197.247875,471.4834447,668.7313197,471.4834447,460.7055,477.139667,7.624280993,668.7313197,657.953375,674.387542,7.624280993,0.9167477541,0.4583738771,0.2949583326,1.228013142e-16,0.0048828125,8909472,10592.9375,50,0,197.247875,0,0,0,471.4834447,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,3,479.005958,353.9683193,832.9742773,353.9683193,336.455875,384.193542,21.46209468,832.9742773,815.461833,863.1995,21.46209468,1.221101905,0.6105509524,0.5750549219,0,0,1924445952,10592.9375,0,0,0,479.005958,0,0,353.9683193,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,4,4,3,0,214.0024163,214.0024163,214.0024163,213.331875,215.325708,0.9357366995,214.0024163,213.331875,215.325708,0.9357366995,2.01975004,0.5049375101,0,1.712921331e-17,0.005859375,0,10592.9375,0,0,0,0,0,0,214.0024163,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,4,4,3,6.659916,172.0039583,178.6638743,172.0039583,165.245375,176.669417,4.893060532,178.6638743,171.905291,183.329333,4.893060532,2.512915361,0.6282288402,0.03727623183,1.621461041e-17,0.0048828125,880070400,10592.9375,0,6.659916,0,0,3.520458333,0,163.7532363,0,0,4.730263667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
