case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_serial,1,1,1,4.2e-05,0.517167,0.517167,0.517167,0.517167,0.517167,0,0.517167,0.517167,0.517167,0,1,1,8.121167824e-05,0,0,0,8.34375,0,0,0,0,0,0,0.517167,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,1,1,1,4.2e-05,0.638042,0.638042,0.638042,0.638042,0.638042,0,0.638042,0.638042,0.638042,0,0.8105532238,0.8105532238,6.58263876e-05,0,0,0,9.375,0,0,0,0,0,0,0.638042,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,1,1,1,0.044541,0.389375,0.433916,0.389375,0.389375,0.389375,0,0.433916,0.433916,0.433916,0,1.328197753,1.328197753,0.1026488998,0,0,654984,10.015625,0,0.044541,0,0,0.002875,0,0.353625,0,0,0.032875,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,1,1,1,0.00125,17.754625,17.754625,17.754625,17.754625,17.754625,0,17.754625,17.754625,17.754625,0,0.02912857917,0.02912857917,7.040419046e-05,1.91871191e-16,3.552713679e-14,7077888,23.5625,0,0,0,0,0,0.928959,0,1.115666,15.426459,0.283541,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,1,1,1,0.452959,0.685083,1.138042,0.685083,0.685083,0.685083,0,1.138042,1.138042,1.138042,0,0.7548968519,0.7548968519,0.3980160662,1.839370776e-16,2.842170943e-14,24576,23.875,30,0,0.452959,0,0,0,0.685083,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_row_owner,1,1,1,1.296,0.797833,2.093833,0.797833,0.797833,0.797833,0,2.093833,2.093833,2.093833,0,0.6482146013,0.6482146013,0.6189605379,0,0,5308416,23.875,0,0,0,1.296,0,0,0.797833,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_atomic,2,2,1,4.2e-05,0.470459,0.470459,0.470459,0.470459,0.470459,0,0.470459,0.470459,0.470459,0,1.099281765,0.5496408826,8.927451701e-05,7.549551517e-17,2.131628207e-14,0,23.9375,0,0,0,0,0,0,0.470459,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_private_csr,2,2,1,0.106208,0.303333,0.409541,0.303333,0.303333,0.303333,0,0.409541,0.409541,0.409541,0,1.704948027,0.8524740137,0.2593342303,6.005692014e-17,1.421085472e-14,1309968,24.5625,0,0.106208,0,0,0.006792,0,0.257791,0,0,0.03875,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_coo_sort_reduce,2,2,1,0.00175,12.793791,12.793791,12.793791,12.793791,12.793791,0,12.793791,12.793791,12.793791,0,0.04042328032,0.02021164016,0.0001367851015,1.91871191e-16,3.552713679e-14,7077888,31.328125,0,0,0,0,0,0.71,0,0.581166,11.314,0.188625,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,simplified,729,3072,2187,81873,cpu_graph_coloring,2,2,1,0.3595,0.858125,1.217625,0.858125,0.858125,0.858125,0,1.217625,1.217625,1.217625,0,0.6026709395,0.3013354698,0.2952468946,1.839370776e-16,2.842170943e-14,24576,31.359375,30,0,0.3595,0,0,0,0.858125,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
