case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_serial,1,1,1,0,1.067666,1.067666,1.067666,1.067666,1.067666,0,1.067666,1.067666,1.067666,0,1,1,0,0,0,0,8.328125,0,0,0,0,0,0,1.067666,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,1,1,1,0,1.267542,1.267542,1.267542,1.267542,1.267542,0,1.267542,1.267542,1.267542,0,0.8423121285,0.8423121285,0,0,0,0,9.375,0,0,0,0,0,0,1.267542,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,1,1,1,0.028625,1.082709,1.111334,1.082709,1.082709,1.082709,0,1.111334,1.111334,1.111334,0,0.9861061467,0.9861061467,0.02575733308,0,0,654984,10.015625,0,0.028625,0,0,0.002292,0,1.061167,0,0,0.01925,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,1,1,1,0.000959,9.335875,9.335875,9.335875,9.335875,9.335875,0,9.335875,9.335875,9.335875,0,0.1143616426,0.1143616426,0.0001027220266,9.08896086e-17,3.051757812e-05,7077888,23.546875,0,0,0,0,0,1.522667,0,0.429166,7.257167,0.126875,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,1,1,1,0.2845,1.201042,1.485542,1.201042,1.201042,1.201042,0,1.485542,1.485542,1.485542,0,0.888949762,0.888949762,0.1915125927,8.818781652e-17,3.051757812e-05,24576,23.84375,30,0,0.2845,0,0,0,1.201042,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,1,1,1,0.683,1.177292,1.860292,1.177292,1.177292,1.177292,0,1.860292,1.860292,1.860292,0,0.9068829143,0.9068829143,0.367146663,0,0,5308416,23.84375,0,0,0,0.683,0,0,1.177292,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,2,2,1,0,0.712334,0.712334,0.712334,0.712334,0.712334,0,0.712334,0.712334,0.712334,0,1.498827797,0.7494138985,0,3.20006597e-17,1.525878906e-05,0,23.90625,0,0,0,0,0,0,0.712334,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,2,2,1,0.067125,0.590209,0.657334,0.590209,0.590209,0.590209,0,0.657334,0.657334,0.657334,0,1.808962588,0.9044812939,0.1021170364,4.199513372e-17,1.525878906e-05,1309968,24.53125,0,0.067125,0,0,0.004625,0,0.560459,0,0,0.025125,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,2,2,1,0.001041,8.542833,8.542833,8.542833,8.542833,8.542833,0,8.542833,8.542833,8.542833,0,0.1249779786,0.06248898931,0.0001218565317,9.08896086e-17,3.051757812e-05,7077888,31.296875,0,0,0,0,0,0.671042,0,0.418958,7.326542,0.126291,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,2,2,1,0.255958,1.113333,1.369291,1.113333,1.113333,1.113333,0,1.369291,1.369291,1.369291,0,0.9589817242,0.4794908621,0.1869273953,8.818781652e-17,3.051757812e-05,24576,31.328125,30,0,0.255958,0,0,0,1.113333,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,2,2,1,0.932625,0.68175,1.614375,0.68175,0.68175,0.68175,0,1.614375,1.614375,1.614375,0,1.56606674,0.78303337,0.5777003484,0,0,5308416,36.453125,0,0,0,0.932625,0,0,0.68175,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,4,4,1,0,0.411833,0.411833,0.411833,0.411833,0.411833,0,0.411833,0.411833,0.411833,0,2.592473163,0.6481182907,0,5.542676848e-17,1.525878906e-05,0,36.484375,0,0,0,0,0,0,0.411833,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,4,4,1,0.018875,0.363667,0.382542,0.363667,0.363667,0.363667,0,0.382542,0.382542,0.382542,0,2.935834156,0.733958539,0.04934098739,7.273770527e-17,1.525878906e-05,2619936,36.546875,0,0.018875,0,0,0.009292,0,0.32925,0,0,0.025125,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,4,4,1,0.001084,8.028083,8.028083,8.028083,8.028083,8.028083,0,8.028083,8.028083,8.028083,0,0.1329914003,0.03324785008,0.0001350260081,9.08896086e-17,3.051757812e-05,7077888,42.078125,0,0,0,0,0,0.517792,0,0.131791,7.253709,0.124791,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,4,4,1,0.249209,0.996167,1.245376,0.996167,0.996167,0.996167,0,1.245376,1.245376,1.245376,0,1.07177411,0.2679435275,0.2001074374,8.818781652e-17,3.051757812e-05,24576,42.109375,30,0,0.249209,0,0,0,0.996167,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,4,4,1,0.933292,0.533916,1.467208,0.533916,0.533916,0.533916,0,1.467208,1.467208,1.467208,0,1.99968909,0.4999222724,0.6361006756,0,0,5308416,46.609375,0,0,0,0.933292,0,0,0.533916,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,8,8,1,4.2e-05,0.530458,0.530458,0.530458,0.530458,0.530458,0,0.530458,0.530458,0.530458,0,2.012724853,0.2515906066,7.917686226e-05,7.186457697e-17,1.525878906e-05,0,46.796875,0,0,0,0,0,0,0.530458,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,8,8,1,0.0375,0.439292,0.476792,0.439292,0.439292,0.439292,0,0.476792,0.476792,0.476792,0,2.43042441,0.3038030513,0.0786506485,1.111086801e-16,1.525878906e-05,5239872,46.796875,0,0.0375,0,0,0.018209,0,0.352291,0,0,0.068792,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,8,8,1,0.001,7.992334,7.992334,7.992334,7.992334,7.992334,0,7.992334,7.992334,7.992334,0,0.133586259,0.01669828238,0.0001251198961,9.08896086e-17,3.051757812e-05,7077888,47.828125,0,0,0,0,0,0.457292,0,0.122417,7.282708,0.129917,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,8,8,1,0.26475,2.0025,2.26725,2.0025,2.0025,2.0025,0,2.26725,2.26725,2.26725,0,0.5331665418,0.06664581773,0.1167714191,8.818781652e-17,3.051757812e-05,24576,47.84375,30,0,0.26475,0,0,0,2.0025,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,8,8,1,0.747375,0.36775,1.115125,0.36775,0.36775,0.36775,0,1.115125,1.115125,1.115125,0,2.903238613,0.3629048266,0.6702163435,0,0,5308416,47.9375,0,0,0,0.747375,0,0,0.36775,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_atomic,14,14,1,4.2e-05,0.378583,0.378583,0.378583,0.378583,0.378583,0,0.378583,0.378583,0.378583,0,2.82016361,0.2014402579,0.0001109400052,7.468973568e-17,1.525878906e-05,0,48.125,0,0,0,0,0,0,0.378583,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_private_csr,14,14,1,0.4805,0.404,0.8845,0.404,0.404,0.404,0,0.8845,0.8845,0.8845,0,2.642737624,0.1887669731,0.5432447711,1.155808689e-16,3.051757812e-05,9169776,56.890625,0,0.4805,0,0,0.037167,0,0.264333,0,0,0.1025,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_coo_sort_reduce,14,14,1,0.001042,7.843,7.843,7.843,7.843,7.843,0,7.843,7.843,7.843,0,0.1361297973,0.009723556948,0.000132857325,9.08896086e-17,3.051757812e-05,7077888,57.828125,0,0,0,0,0,0.352625,0,0.120375,7.243042,0.126958,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_graph_coloring,14,14,1,0.257042,3.018708,3.27575,3.018708,3.018708,3.018708,0,3.27575,3.27575,3.27575,0,0.3536830989,0.02526307849,0.07846813707,8.818781652e-17,3.051757812e-05,24576,57.875,30,0,0.257042,0,0,0,3.018708,0,0,0,PASS,"","Greedy first-fit element coloring, colors=30","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"cube_tet4_8x8x8","cube_tet4_8x8x8",Tet4,physics_tet4,729,3072,2187,81873,cpu_row_owner,14,14,1,0.78275,0.430125,1.212875,0.430125,0.430125,0.430125,0,1.212875,1.212875,1.212875,0,2.48222261,0.177301615,0.6453674121,0,0,5308416,57.921875,0,0,0,0.78275,0,0,0.430125,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
