case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_serial,1,1,1,8.4e-05,188.003167,188.003167,188.003167,188.003167,188.003167,0,188.003167,188.003167,188.003167,0,1,1,4.468009839e-07,0,0,0,2264.34375,0,0,0,0,0,0,188.003167,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_atomic,1,1,1,0.000167,255.934666,255.934666,255.934666,255.934666,255.934666,0,255.934666,255.934666,255.934666,0,0.7345748426,0.7345748426,6.525102778e-07,0,0,0,2581.828125,0,0,0,0,0,0,255.934666,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_private_csr,1,1,1,11.385125,162.080542,173.465667,162.080542,162.080542,162.080542,0,173.465667,173.465667,173.465667,0,1.159936688,1.159936688,0.06563330483,0,0,220017600,2791.703125,0,11.385125,0,0,3.277959,0,151.629166,0,0,7.173417,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_coo_sort_reduce,1,1,1,0.442583,6254.311667,6254.311667,6254.311667,6254.311667,6254.311667,0,6254.311667,6254.311667,6254.311667,0,0.03005976949,0.03005976949,7.076446195e-05,1.785376261e-16,7.105427358e-14,2565927936,6967.921875,0,0,0,0,0,519.636209,0,848.453583,4811.666375,74.5555,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,1,192.421459,484.229875,676.651334,484.229875,484.229875,484.229875,0,676.651334,676.651334,676.651334,0,0.3882518959,0.3882518959,0.2843731318,1.390584941e-16,4.263256415e-14,8909472,7084.453125,50,0,192.421459,0,0,0,484.229875,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_row_owner,1,1,1,279.871292,262.916709,542.788001,262.916709,262.916709,262.916709,0,542.788001,542.788001,542.788001,0,0.715067398,0.715067398,0.5156180525,0,0,1924445952,7135.28125,0,0,0,279.871292,0,0,262.916709,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_atomic,2,2,1,0,194.768791,194.768791,194.768791,194.768791,194.768791,0,194.768791,194.768791,194.768791,0,0.9652633055,0.4826316527,0,1.217524803e-17,4.263256415e-14,0,7135.359375,0,0,0,0,0,0,194.768791,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_private_csr,2,2,1,41.071167,125.1815,166.252667,125.1815,125.1815,125.1815,0,166.252667,166.252667,166.252667,0,1.501844658,0.7509223288,0.2470406505,1.040235329e-17,4.263256415e-14,440035200,7555.03125,0,41.071167,0,0,9.958542,0,109.534292,0,0,5.688666,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_coo_sort_reduce,2,2,1,0.510166,5004.563292,5004.563292,5004.563292,5004.563292,5004.563292,0,5004.563292,5004.563292,5004.563292,0,0.03756634816,0.01878317408,0.0001019401635,1.785376261e-16,7.105427358e-14,2565927936,9711.328125,0,0,0,0,0,194.80725,0,726.226625,4008.502375,75.027042,PASS,"","Transient memory estimate only; vector is allocated during assemble()","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,1,192.548167,311.256958,503.805125,311.256958,311.256958,311.256958,0,503.805125,503.805125,503.805125,0,0.6040127366,0.3020063683,0.3821877894,1.390584941e-16,4.263256415e-14,8909472,9742,50,0,192.548167,0,0,0,311.256958,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,simplified,228384,1113684,685152,27502200,cpu_row_owner,2,2,1,574.301709,132.516584,706.818293,132.516584,132.516584,132.516584,0,706.818293,706.818293,706.818293,0,1.418714257,0.7093571285,0.8125167595,0,0,1924445952,11098.35938,0,0,0,574.301709,0,0,132.516584,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
