case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000263,1265.418687,1265.418687,1265.418687,1259.834364,1268.482061,3.954917087,1265.418687,1259.834364,1268.482061,3.954917087,0.5842003572,0.5842003572,2.078363491e-07,0,0,0,2360.289062,0,0,0,0,0,0,1265.418687,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,66.278965,774.6182497,840.8972147,774.6182497,765.631591,782.868373,7.056133344,840.8972147,831.910556,849.147338,7.056133344,0.954351449,0.954351449,0.07881934182,0,0,220017600,2570.132812,0,66.278965,0,0,12.00392733,0,742.974424,0,0,19.63989833,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4218.907819,857.0667613,5075.97458,857.0667613,846.307642,871.736222,10.74309847,5075.97458,5065.215461,5090.644041,10.74309847,0.8625442992,0.8625442992,0.8311522747,0,0,1924445952,4195.601562,0,0,0,4218.907819,0,0,857.0667613,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,198.133239,1349.843091,1547.97633,1349.843091,1345.006123,1353.134207,3.493678213,1547.97633,1543.139362,1551.267446,3.493678213,0.547662209,0.547662209,0.1279950056,1.225939172e-16,0.0048828125,8909472,4195.601562,50,0,198.133239,0,0,0,1349.843091,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000529,673.992062,673.992062,673.992062,672.578362,675.777693,1.332336097,673.992062,672.578362,675.777693,1.332336097,1.096834949,0.5484174745,7.848757127e-07,8.339156026e-18,0.00390625,0,4195.601562,0,0,0,0,0,0,673.992062,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,133.203434,467.2877807,600.4912147,467.2877807,463.472118,470.640816,2.94483455,600.4912147,596.675552,603.84425,2.94483455,1.582018789,0.7910093946,0.2218241179,8.361934979e-18,0.00390625,440035200,4195.601562,0,133.203434,0,0,24.410256,0,421.9896893,0,0,20.88783533,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4418.458641,498.3218573,4916.780498,498.3218573,494.452043,505.176313,4.860284949,4916.780498,4912.910684,4923.634954,4.860284949,1.483495131,0.7417475655,0.8986487484,0,0,1924445952,5112.792969,0,0,0,4418.458641,0,0,498.3218573,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,202.740903,766.514789,969.255692,766.514789,764.169291,770.572711,2.881000277,969.255692,966.910194,973.313614,2.881000277,0.9644406861,0.482220343,0.2091717435,1.225939172e-16,0.0048828125,8909472,5112.792969,50,0,202.740903,0,0,0,766.514789,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.00044,474.0076743,474.0076743,474.0076743,473.349566,474.887065,0.6468900973,474.0076743,473.349566,474.887065,0.6468900973,1.559590886,0.5198636288,9.282550132e-07,1.419222269e-17,0.005859375,0,5112.792969,0,0,0,0,0,0,474.0076743,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,199.296386,362.8025303,562.0989163,362.8025303,360.790703,366.119168,2.362912372,562.0989163,560.087089,565.415554,2.362912372,2.03763201,0.6792106699,0.3545574991,1.295314281e-17,0.00390625,660052800,5112.792969,0,199.296386,0,0,35.92253267,0,305.1265807,0,0,21.753417,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
