case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000188,1274.61077,1274.61077,1274.61077,1266.955105,1288.495572,9.83529475,1274.61077,1266.955105,1288.495572,9.83529475,0.5616787917,0.5616787917,1.474960077e-07,0,0,0,2255.332031,0,0,0,0,0,0,1274.61077,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,66.76938,782.1520237,848.9214037,782.1520237,778.887813,786.739674,3.339316268,848.9214037,845.657193,853.509054,3.339316268,0.9153231286,0.9153231286,0.07865201621,0,0,220017600,2465.175781,0,66.76938,0,0,12.069107,0,749.8812253,0,0,20.20169133,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4203.774607,866.0556107,5069.830218,866.0556107,844.632346,876.850672,15.14868888,5069.830218,5048.406953,5080.625279,15.14868888,0.8266464977,0.8266464977,0.8291746324,0,0,1924445952,4090.644531,0,0,0,4203.774607,0,0,866.0556107,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,200.815418,1354.765619,1555.581037,1354.765619,1352.086249,1358.081857,2.488778659,1555.581037,1552.901667,1558.897275,2.488778659,0.5284470075,0.5284470075,0.1290935112,1.225939172e-16,0.0048828125,8909472,4090.644531,50,0,200.815418,0,0,0,1354.765619,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000406,676.9713843,676.9713843,676.9713843,670.004179,686.382489,6.906120116,676.9713843,670.004179,686.382489,6.906120116,1.057536336,0.528768168,5.997299286e-07,8.749295822e-18,0.0048828125,0,4090.644531,0,0,0,0,0,0,676.9713843,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,132.260043,471.465381,603.725424,471.465381,459.751557,487.52758,11.74898967,603.725424,592.0116,619.787623,11.74898967,1.518503513,0.7592517565,0.2190731709,8.361934979e-18,0.00390625,440035200,4090.644531,0,132.260043,0,0,24.320812,0,426.356161,0,0,20.788408,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4401.285884,503.3433323,4904.629216,503.3433323,502.108694,504.754066,1.087123246,4904.629216,4903.394578,4906.03995,1.087123246,1.422333011,0.7111665054,0.8973738258,0,0,1924445952,5007.691406,0,0,0,4401.285884,0,0,503.3433323,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,198.398879,780.215254,978.614133,780.215254,776.192105,782.305116,2.845513995,978.614133,974.590984,980.703995,2.845513995,0.9175952837,0.4587976418,0.2027345328,1.225939172e-16,0.0048828125,8909472,5007.691406,50,0,198.398879,0,0,0,780.215254,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000415,473.2478497,473.2478497,473.2478497,472.454648,474.45448,0.8671887353,473.2478497,472.454648,474.45448,0.8671887353,1.512784132,0.5042613772,8.769189343e-07,1.397958904e-17,0.005859375,0,5007.691406,0,0,0,0,0,0,473.2478497,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,200.486998,358.8083063,559.2953043,358.8083063,357.254025,359.705513,1.10340645,559.2953043,557.741023,560.192511,1.10340645,1.995276655,0.6650922184,0.3584635817,1.295314281e-17,0.00390625,660052800,5007.691406,0,200.486998,0,0,35.62482533,0,301.1103797,0,0,22.07310133,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
