env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_atomic,1,physical_core_region,1274.61077,0.5616787917,0.5616787917,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,0.0
default,cpu_private_csr,1,physical_core_region,782.1520237,0.9153231286,0.9153231286,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,220017600.0,0.0
default,cpu_row_owner,1,physical_core_region,866.0556107,0.8266464977,0.8266464977,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,1,physical_core_region,1354.765619,0.5284470075,0.5284470075,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,2,physical_core_region,676.9713843,1.057536336,0.528768168,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,8.749295822e-18
default,cpu_private_csr,2,physical_core_region,471.465381,1.518503513,0.7592517565,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,440035200.0,8.361934979e-18
default,cpu_row_owner,2,physical_core_region,503.3433323,1.422333011,0.7111665054,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,2,physical_core_region,780.215254,0.9175952837,0.4587976418,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,3,physical_core_region,473.2478497,1.512784132,0.5042613772,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.397958904e-17
default,cpu_private_csr,3,physical_core_region,358.8083063,1.995276655,0.6650922184,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,660052800.0,1.295314281e-17
default,cpu_row_owner,3,physical_core_region,365.6922937,1.9577165,0.6525721668,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,3,physical_core_region,565.63772,1.265689702,0.4218965674,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,4,physical_core_region,369.8586117,1.935663561,0.4839158903,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.746400322e-17
default,cpu_private_csr,4,physical_core_region,314.9963233,2.272794266,0.5681985664,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,880070400.0,1.596975678e-17
default,cpu_row_owner,4,physical_core_region,294.4138723,2.431685137,0.6079212841,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,4,physical_core_region,444.9732823,1.608909716,0.402227429,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,5,physical_core_region,302.2171367,2.368898883,0.4737797765,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,9.155201824e-17
default,cpu_private_csr,5,physical_core_region,292.0134497,2.451674189,0.4903348378,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1100088000.0,6.920675397e-17
default,cpu_row_owner,5,physical_core_region,256.5592723,2.790473448,0.5580946896,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,5,physical_core_region,370.777058,1.930868758,0.3861737515,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,6,physical_core_region,258.3891717,2.770711453,0.4617852422,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.507726086e-17
default,cpu_private_csr,6,physical_core_region,278.6204253,2.569523884,0.4282539806,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1320105600.0,1.405209813e-17
default,cpu_row_owner,6,physical_core_region,220.9276767,3.240525805,0.5400876342,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,6,physical_core_region,315.3555363,2.270205387,0.3783675645,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,7,physical_core_region,226.704347,3.157953726,0.4511362466,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.091510077e-16
default,cpu_private_csr,7,physical_core_region,272.622891,2.626051814,0.3751502591,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1540123200.0,8.265713991e-17
default,cpu_row_owner,7,physical_core_region,207.3035493,3.453495319,0.4933564742,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,7,physical_core_region,277.146292,2.583191109,0.3690273013,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,8,physical_core_region,204.1450747,3.506926819,0.4383658524,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,9.835770204e-17
default,cpu_private_csr,8,physical_core_region,283.5714947,2.524660803,0.3155826003,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1760140800.0,7.388096298e-17
