case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000266,1719.055857,1719.055857,1719.055857,1677.09805,1772.897685,40.00262487,1719.055857,1677.09805,1772.897685,40.00262487,0.6270765452,0.6270765452,1.547361006e-07,0,0,0,2360.347656,0,0,0,0,0,0,1719.055857,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,49.622156,1099.022123,1148.644279,1099.022123,1087.135073,1108.238946,8.820088639,1148.644279,1136.757229,1157.861102,8.820088639,0.98085342,0.98085342,0.04320062958,0,0,220017600,2570.191406,0,49.622156,0,0,16.48996467,0,1062.807812,0,0,19.72434633,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4607.19045,1187.130638,5794.321088,1187.130638,1183.094987,1195.045525,5.597034778,5794.321088,5790.285437,5802.235975,5.597034778,0.9080547443,0.9080547443,0.7951217028,0,0,1924445952,4195.660156,0,0,0,4607.19045,0,0,1187.130638,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,274.385845,1813.86683,2088.252675,1813.86683,1802.034328,1834.147996,14.40733267,2088.252675,2076.420173,2108.533841,14.40733267,0.5942992008,0.5942992008,0.1313949448,1.225939172e-16,0.0048828125,8909472,4195.660156,50,0,274.385845,0,0,0,1813.86683,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000463,916.925633,916.925633,916.925633,915.764322,917.595489,0.8243943871,916.925633,915.764322,917.595489,0.8243943871,1.175645624,0.5878228118,5.049482568e-07,7.286265228e-18,0.00390625,0,4195.660156,0,0,0,0,0,0,916.925633,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,96.425799,648.2269073,744.6527063,648.2269073,642.348962,652.455155,4.287572043,744.6527063,738.774761,748.880954,4.287572043,1.662966464,0.8314832318,0.129490967,8.361934979e-18,0.00390625,440035200,4195.660156,0,96.425799,0,0,33.24298567,0,594.624989,0,0,20.35893267,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4793.008449,684.7965403,5477.804989,684.7965403,678.823557,689.648191,4.489707898,5477.804989,5471.832006,5482.65664,4.489707898,1.574160417,0.7870802086,0.8749870538,0,0,1924445952,5112.851562,0,0,0,4793.008449,0,0,684.7965403,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,296.416453,938.524756,1234.941209,938.524756,938.17571,938.92114,0.3061558818,1234.941209,1234.592163,1235.337593,0.3061558818,1.148589423,0.5742947113,0.2400247484,1.225939172e-16,0.0048828125,8909472,5112.851562,50,0,296.416453,0,0,0,938.524756,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000247,639.9081987,639.9081987,639.9081987,638.470453,641.57976,1.280091098,639.9081987,638.470453,641.57976,1.280091098,1.684584773,0.5615282577,3.859928667e-07,1.459671636e-17,0.005859375,0,5112.851562,0,0,0,0,0,0,639.9081987,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,144.434186,488.4331,632.867286,488.4331,485.998335,492.970597,3.211357008,632.867286,630.432521,637.404783,3.211357008,2.207015879,0.7356719598,0.2282219182,1.295314281e-17,0.00390625,660052800,5112.851562,0,144.434186,0,0,49.52986067,0,416.3336137,0,0,22.56962567,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4413.318669,476.4066413,4889.72531,476.4066413,473.024203,481.052881,3.397333559,4889.72531,4886.342872,4894.37155,3.397333559,2.262730017,0.754243339,0.902569856,0,0,1924445952,5112.851562,0,0,0,4413.318669,0,0,476.4066413,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,281.439104,649.1543617,930.5934657,649.1543617,645.172805,651.317253,2.818890799,930.5934657,926.611909,932.756357,2.818890799,1.660590564,0.5535301881,0.3024297015,1.225939172e-16,0.0048828125,8909472,5112.851562,50,0,281.439104,0,0,0,649.1543617,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000257,504.350454,504.350454,504.350454,498.348257,511.420701,5.389975024,504.350454,498.348257,511.420701,5.389975024,2.137362223,0.5343405558,5.095663104e-07,1.701225941e-17,0.005859375,0,5112.851562,0,0,0,0,0,0,504.350454,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,195.132614,440.1833723,635.3159863,440.1833723,429.982302,449.960643,8.161626958,635.3159863,625.114916,645.093257,8.161626958,2.448933048,0.612233262,0.307142616,1.596975678e-17,0.005859375,880070400,5112.851562,0,195.132614,0,0,68.036243,0,337.279595,0,0,34.86753433,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4631.576146,389.2918037,5020.86795,389.2918037,388.702316,389.944212,0.5089503423,5020.86795,5020.278462,5021.520358,0.5089503423,2.769078613,0.6922696532,0.9224652376,0,0,1924445952,5112.851562,0,0,0,4631.576146,0,0,389.2918037,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,4,4,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,280.706536,506.975573,787.682109,506.975573,506.56973,507.462016,0.368705706,787.682109,787.276266,788.168552,0.368705706,2.126294964,0.531573741,0.3563703337,1.225939172e-16,0.0048828125,8909472,5112.851562,50,0,280.706536,0,0,0,506.975573,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000413,414.7489127,414.7489127,414.7489127,411.40607,417.407363,2.497355143,414.7489127,411.40607,417.407363,2.497355143,2.599113764,0.5198227529,9.957832013e-07,9.155542703e-17,0.005859375,0,5112.851562,0,0,0,0,0,0,414.7489127,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,242.69127,388.9577827,631.6490527,388.9577827,384.342825,391.986123,3.315922898,631.6490527,627.034095,634.677393,3.315922898,2.771456584,0.5542913168,0.3842185292,6.920675397e-17,0.005859375,1100088000,5112.851562,0,242.69127,0,0,83.09916167,0,273.233389,0,0,32.625232,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,5,5,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4476.666943,344.597052,4821.263995,344.597052,343.450293,345.817018,0.9675971114,4821.263995,4820.117236,4822.483961,0.9675971114,3.128232239,0.6256464479,0.9285255791,0,0,1924445952,5112.851562,0,0,0,4476.666943,0,0,344.597052,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
