env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_atomic,1,physical_core_region,1719.055857,0.6270765452,0.6270765452,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,0.0
default,cpu_private_csr,1,physical_core_region,1099.022123,0.98085342,0.98085342,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,220017600.0,0.0
default,cpu_row_owner,1,physical_core_region,1187.130638,0.9080547443,0.9080547443,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,1,physical_core_region,1813.86683,0.5942992008,0.5942992008,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,2,physical_core_region,916.925633,1.175645624,0.5878228118,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,7.286265228e-18
default,cpu_private_csr,2,physical_core_region,648.2269073,1.662966464,0.8314832318,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,440035200.0,8.361934979e-18
default,cpu_row_owner,2,physical_core_region,684.7965403,1.574160417,0.7870802086,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,1924445952.0,0.0
default,cpu_graph_coloring,2,physical_core_region,938.524756,1.148589423,0.5742947113,PASS,,"Greedy first-fit element coloring, colors=50",20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,8909472.0,1.225939172e-16
default,cpu_atomic,3,physical_core_region,639.9081987,1.684584773,0.5615282577,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,0.0,1.459671636e-17
default,cpu_private_csr,3,physical_core_region,488.4331,2.207015879,0.7356719598,PASS,,,20,20,Intel(R) Core(TM) Ultra 7 265KF,,,,660052800.0,1.295314281e-17
