case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000162,1276.571699,1276.571699,1276.571699,1263.72291,1286.466325,9.517038678,1276.571699,1263.72291,1286.466325,9.517038678,0.5753840147,0.5753840147,1.269023903e-07,0,0,0,2360.308594,0,0,0,0,0,0,1276.571699,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,66.442937,787.563269,854.006206,787.563269,773.298768,803.023573,12.16452401,854.006206,839.741705,869.46651,12.16452401,0.9326475445,0.9326475445,0.07780146858,0,0,220017600,2570.050781,0,66.442937,0,0,12.05459433,0,755.7762497,0,0,19.732425,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4232.702721,870.2510317,5102.953753,870.2510317,857.856105,879.272583,9.06278575,5102.953753,5090.558826,5111.975304,9.06278575,0.8440311155,0.8440311155,0.8294613132,0,0,1924445952,4195.519531,0,0,0,4232.702721,0,0,870.2510317,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,199.207055,1353.714466,1552.921521,1353.714466,1349.973092,1356.660568,2.787463241,1552.921521,1549.180147,1555.867623,2.787463241,0.5425951834,0.5425951834,0.1282788939,1.225939172e-16,0.0048828125,8909472,4195.519531,50,0,199.207055,0,0,0,1353.714466,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.00071,684.3117713,684.3117713,684.3117713,684.115458,684.469082,0.1469770716,684.3117713,684.115458,684.469082,0.1469770716,1.073368865,0.5366844323,1.037538779e-06,8.426953324e-18,0.00390625,0,4195.519531,0,0,0,0,0,0,684.3117713,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,133.906156,473.527807,607.433963,473.527807,471.40425,476.761579,2.323743605,607.433963,605.310406,610.667735,2.323743605,1.551163286,0.7755816429,0.220445619,8.361934979e-18,0.00390625,440035200,4195.519531,0,133.906156,0,0,23.97629733,0,428.9691333,0,0,20.58237633,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4439.856118,495.6764837,4935.532602,495.6764837,492.476804,501.306135,3.993147731,4935.532602,4932.332922,4941.162253,3.993147731,1.481851516,0.7409257582,0.8995698086,0,0,1924445952,5112.714844,0,0,0,4439.856118,0,0,495.6764837,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,201.027846,773.4880003,974.5158463,773.4880003,767.43511,784.873256,8.055963589,974.5158463,968.462956,985.901102,8.055963589,0.9496190616,0.4748095308,0.2062848406,1.225939172e-16,0.0048828125,8909472,5112.714844,50,0,201.027846,0,0,0,773.4880003,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000406,474.8962837,474.8962837,474.8962837,473.667175,476.644697,1.269820806,474.8962837,473.667175,476.644697,1.269820806,1.546693403,0.5155644676,8.549235148e-07,1.419123176e-17,0.005859375,0,5112.714844,0,0,0,0,0,0,474.8962837,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,201.242403,363.662706,564.905109,363.662706,360.870772,367.144996,2.607542298,564.905109,562.113175,568.387399,2.607542298,2.019780794,0.6732602646,0.3562410745,1.295314281e-17,0.00390625,660052800,5112.714844,0,201.242403,0,0,36.48071333,0,305.0156097,0,0,22.166383,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","close","cores","FALSE"
