case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000252,1283.515104,1283.515104,1283.515104,1270.295291,1290.492865,9.35264321,1283.515104,1270.295291,1290.492865,9.35264321,0.5777854653,0.5777854653,1.963358275e-07,0,0,0,2360.355469,0,0,0,0,0,0,1283.515104,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,67.061454,772.0774697,839.1389237,772.0774697,767.598579,774.748133,3.186565044,839.1389237,834.660033,841.809587,3.186565044,0.9605206737,0.9605206737,0.07991698646,0,0,220017600,2570.199219,0,67.061454,0,0,12.04623833,0,740.2532233,0,0,19.778008,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4180.307646,856.1727803,5036.480426,856.1727803,854.915384,857.415288,1.020635833,5036.480426,5035.22303,5037.722934,1.020635833,0.8661760668,0.8661760668,0.8300057366,0,0,1924445952,4195.667969,0,0,0,4180.307646,0,0,856.1727803,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,196.529488,1366.567064,1563.096552,1366.567064,1361.1798,1371.7574,4.320531674,1563.096552,1557.709288,1568.286888,4.320531674,0.5426710411,0.5426710411,0.1257308691,1.225939172e-16,0.0048828125,8909472,4195.667969,50,0,196.529488,0,0,0,1366.567064,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.00039,678.915078,678.915078,678.915078,671.7886,685.852846,5.743254738,678.915078,671.7886,685.852846,5.743254738,1.092325676,0.5461628379,5.74445925e-07,9.690919726e-18,0.00390625,0,4195.667969,0,0,0,0,0,0,678.915078,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,132.461543,466.4087493,598.8702923,466.4087493,463.607829,468.074373,1.992348316,598.8702923,596.069372,600.535916,1.992348316,1.59001385,0.7950069251,0.221185697,8.361934979e-18,0.00390625,440035200,4195.667969,0,132.461543,0,0,24.07374733,0,421.522924,0,0,20.812078,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,4458.159133,502.7662673,4960.9254,502.7662673,500.401493,504.567297,1.746775463,4960.9254,4958.560626,4962.72643,1.746775463,1.475032077,0.7375160383,0.8986547415,0,0,1924445952,5112.859375,0,0,0,4458.159133,0,0,502.7662673,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,202.627095,777.409848,980.036943,777.409848,770.303992,787.621316,7.402974495,980.036943,972.931087,990.248411,7.402974495,0.953932309,0.4769661545,0.2067545478,1.225939172e-16,0.0048828125,8909472,5112.859375,50,0,202.627095,0,0,0,777.409848,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,0.000415,480.7521703,480.7521703,480.7521703,476.469161,485.990385,3.945270547,480.7521703,476.469161,485.990385,3.945270547,1.542575192,0.5141917306,8.632306323e-07,1.401244953e-17,0.005859375,0,5112.859375,0,0,0,0,0,0,480.7521703,0,0,0,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Intel(R) Core(TM) Ultra 7 265KF",20,20,3,200.170541,367.7872667,567.9578077,367.7872667,365.940822,368.796323,1.307513137,567.9578077,566.111363,568.966864,1.307513137,2.016373155,0.6721243851,0.3524391043,1.295314281e-17,0.00390625,660052800,5112.859375,0,200.170541,0,0,36.22544433,0,309.076897,0,0,22.48492533,PASS,"","","Linux;x86_64;GCC 13.3;OpenMP 201511","","",""
