schema_version,platform_id,run_profile,profile_note,env_group,case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Apple M4 Max",14,14,3,4.1e-05,7617.142306,7617.142306,7617.142306,7066.257667,8550.55025,663.5883149,7617.142306,7066.257667,8550.55025,663.5883149,0.7334939055,0.7334939055,5.382596039e-09,0,0,0,2581.828125,0,0,0,0,0,0,7617.142306,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Apple M4 Max",14,14,3,55.418375,5562.026403,5617.444778,5562.026403,5527.174667,5580.88175,24.67152233,5617.444778,5582.593042,5636.300125,24.67152233,1.004512934,1.004512934,0.009865406282,0,0,220017600,2791.71875,0,55.418375,0,0,3.226416667,0,5526.862194,0,0,31.93779167,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Apple M4 Max",14,14,3,1657.794375,6406.604597,8064.398972,6406.604597,6387.052083,6434.391958,20.18457282,8064.398972,8044.846458,8092.186333,20.18457282,0.8720886975,0.8720886975,0.2055694889,0,0,1924445952,4607.046875,0,0,0,1657.794375,0,0,6406.604597,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Apple M4 Max",14,14,3,1161.123167,5745.469333,6906.5925,5745.469333,5706.91725,5822.376375,54.38155023,6906.5925,6868.040417,6983.499542,54.38155023,0.9724405674,0.9724405674,0.168118094,1.228013142e-16,0.0048828125,8909472,4641.375,50,0,1161.123167,0,0,0,5745.469333,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Apple M4 Max",14,14,3,4.1e-05,3327.066667,3327.066667,3327.066667,3136.404125,3641.227042,223.8307852,3327.066667,3136.404125,3641.227042,223.8307852,1.679295313,0.8396476564,1.232316756e-08,9.397636279e-18,0.0048828125,0,4641.375,0,0,0,0,0,0,3327.066667,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Apple M4 Max",14,14,3,81.470125,2693.684444,2775.154569,2693.684444,2638.726,2802.628208,77.03589845,2775.154569,2720.196125,2884.098333,77.03589845,2.074158118,1.037079059,0.0293569684,8.298033569e-18,0.0029296875,440035200,4641.375,0,81.470125,0,0,6.420513667,0,2655.636486,0,0,31.62744467,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Apple M4 Max",14,14,3,1874.555417,3076.271917,4950.827334,3076.271917,3005.74725,3129.0875,51.88714062,4950.827334,4880.302667,5003.642917,51.88714062,1.816200781,0.9081003907,0.3786347797,0,0,1924445952,5771.3125,0,0,0,1874.555417,0,0,3076.271917,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Apple M4 Max",14,14,3,943.564792,3223.239681,4166.804473,3223.239681,3137.919292,3326.280541,77.91234976,4166.804473,4081.484084,4269.845333,77.91234976,1.733388768,0.8666943839,0.2264480607,1.228013142e-16,0.0048828125,8909472,5771.3125,50,0,943.564792,0,0,0,3223.239681,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Apple M4 Max",14,14,3,0.000209,2509.886958,2509.886958,2509.886958,2426.126333,2621.494334,82.15329201,2509.886958,2426.126333,2621.494334,82.15329201,2.226047448,0.742015816,8.327068249e-08,1.366905632e-17,0.005859375,0,5771.3125,0,0,0,0,0,0,2509.886958,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v1","apple-m4-max","efficiency_core_only","Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.","default","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Apple M4 Max",14,14,3,125.241375,2098.412792,2223.654167,2098.412792,2009.067375,2183.928375,71.43805264,2223.654167,2134.30875,2309.16975,71.43805264,2.662549276,0.8875164252,0.05632232605,1.296852184e-17,0.0048828125,660052800,5771.3125,0,125.241375,0,0,10.14652767,0,2052.888833,0,0,35.37743067,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
