env_group,schema_version,platform_id,run_profile,profile_note,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,1,physical_core_region,7617.142306,0.7334939055,0.7334939055,PASS,,,14,14,Apple M4 Max,,,,0.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,1,physical_core_region,5562.026403,1.004512934,1.004512934,PASS,,,14,14,Apple M4 Max,,,,220017600.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,1,physical_core_region,6406.604597,0.8720886975,0.8720886975,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,1,physical_core_region,5745.469333,0.9724405674,0.9724405674,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,2,physical_core_region,3327.066667,1.679295313,0.8396476564,PASS,,,14,14,Apple M4 Max,,,,0.0,9.397636279e-18
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,2,physical_core_region,2693.684444,2.074158118,1.037079059,PASS,,,14,14,Apple M4 Max,,,,440035200.0,8.298033569e-18
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,2,physical_core_region,3076.271917,1.816200781,0.9081003907,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,2,physical_core_region,3223.239681,1.733388768,0.8666943839,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,3,physical_core_region,2509.886958,2.226047448,0.742015816,PASS,,,14,14,Apple M4 Max,,,,0.0,1.366905632e-17
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,3,physical_core_region,2098.412792,2.662549276,0.8875164252,PASS,,,14,14,Apple M4 Max,,,,660052800.0,1.296852184e-17
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,3,physical_core_region,2433.449041,2.295970601,0.7653235338,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,3,physical_core_region,2376.34218,2.35114602,0.7837153399,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,4,physical_core_region,2306.722917,2.422106018,0.6055265045,PASS,,,14,14,Apple M4 Max,,,,0.0,1.745155084e-17
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,4,physical_core_region,1914.701569,2.91801477,0.7295036924,PASS,,,14,14,Apple M4 Max,,,,880070400.0,1.621461041e-17
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,4,physical_core_region,2187.519791,2.554092302,0.6385230754,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,4,physical_core_region,2049.710847,2.725812505,0.6814531262,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,1,physical_core_region,7474.000292,0.7544469143,0.7544469143,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,1,physical_core_region,5352.356542,1.053505389,1.053505389,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,220017600.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_row_owner,1,physical_core_region,6044.054292,0.9329394122,0.9329394122,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,FALSE,close,cores,1924445952.0,0.0
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_graph_coloring,1,physical_core_region,5960.546333,0.9460100036,0.9460100036,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,FALSE,close,cores,8909472.0,1.228013142e-16
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_atomic,2,physical_core_region,3390.212722,1.66323972,0.8316198598,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,0.0,9.455095784e-18
bound,pgsa-cross-platform-v1,apple-m4-max,efficiency_core_only,Efficiency QoS: QoS-biased sensitivity run; not hard-pinned core affinity. taskpolicy -c background; thread range limited to detected E-core count.,cpu_private_csr,2,physical_core_region,2815.883806,2.002474835,1.001237417,PASS,,,14,14,Apple M4 Max,FALSE,close,cores,440035200.0,8.298033569e-18
