schema_version,platform_id,run_profile,profile_note,env_group,case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Apple M4 Max",14,14,3,4.1e-05,775.7325417,775.7325417,775.7325417,764.382209,786.822333,9.162994511,775.7325417,764.382209,786.822333,9.162994511,0.7337102675,0.7337102675,5.28532681e-08,0,0,0,2582.734375,0,0,0,0,0,0,775.7325417,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Apple M4 Max",14,14,3,10.53025,603.609778,614.140028,603.609778,572.013125,651.430417,34.39176121,614.140028,582.543375,661.960667,34.39176121,0.9429319262,0.9429319262,0.01714633393,0,0,220017600,2792.625,0,10.53025,0,0,0.9551253333,0,595.0949027,0,0,7.55975,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,1,1,"physical_core_region","Apple M4 Max",14,14,3,419.169084,656.0054167,1075.174501,656.0054167,631.13325,668.639958,17.58802418,1075.174501,1050.302334,1087.809042,17.58802418,0.8676192547,0.8676192547,0.3898614446,0,0,1924445952,4627.9375,0,0,0,419.169084,0,0,656.0054167,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,1,1,"physical_core_region","Apple M4 Max",14,14,3,255.074584,938.724861,1193.799445,938.724861,934.047458,945.7915,5.083435002,1193.799445,1189.122042,1200.866084,5.083435002,0.6063149644,0.6063149644,0.2136661942,1.228013142e-16,0.0048828125,8909472,4627.9375,50,0,255.074584,0,0,0,938.724861,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Apple M4 Max",14,14,3,0.00025,408.3436667,408.3436667,408.3436667,404.688833,414.404167,4.315657753,408.3436667,404.688833,414.404167,4.315657753,1.393833129,0.6969165646,6.122294048e-07,8.628496984e-18,0.00390625,0,4627.9375,0,0,0,0,0,0,408.3436667,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Apple M4 Max",14,14,3,21.104792,297.2538607,318.3586527,297.2538607,295.662166,298.937208,1.338600061,318.3586527,316.766958,320.042,1.338600061,1.914736883,0.9573684416,0.0662925032,8.298033569e-18,0.0029296875,440035200,4627.9375,0,21.104792,0,0,1.731986,0,290.4189027,0,0,5.102972,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,2,2,"physical_core_region","Apple M4 Max",14,14,3,498.918833,336.3968473,835.3156803,336.3968473,329.546292,342.2055,5.220348499,835.3156803,828.465125,841.124333,5.220348499,1.691938956,0.845969478,0.5972817759,0,0,1924445952,5774.609375,0,0,0,498.918833,0,0,336.3968473,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,2,2,"physical_core_region","Apple M4 Max",14,14,3,215.690958,496.4568193,712.1477773,496.4568193,491.075083,505.286583,6.293295503,712.1477773,706.766041,720.977541,6.293295503,1.14645002,0.5732250102,0.3028738766,1.228013142e-16,0.0048828125,8909472,5774.609375,50,0,215.690958,0,0,0,496.4568193,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Apple M4 Max",14,14,3,0,293.538986,293.538986,293.538986,289.744708,296.907458,2.939640562,293.538986,289.744708,296.907458,2.939640562,1.938968784,0.6463229279,0,1.398966423e-17,0.005859375,0,5774.609375,0,0,0,0,0,0,293.538986,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
"pgsa-cross-platform-v1","apple-m4-max","performance_core_only","Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.","bound","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Apple M4 Max",14,14,3,34.388042,231.804361,266.192403,231.804361,229.967208,233.272625,1.374410105,266.192403,264.35525,267.660667,1.374410105,2.455359029,0.8184530096,0.1291849114,1.296852184e-17,0.0048828125,660052800,5774.609375,0,34.388042,0,0,3.693430333,0,221.2836113,0,0,6.827319333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","close","cores","FALSE"
