env_group,schema_version,platform_id,run_profile,profile_note,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,1,physical_core_region,779.498722,0.727752441,0.727752441,PASS,,,14,14,Apple M4 Max,,,,0.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,1,physical_core_region,579.1654027,0.9794820185,0.9794820185,PASS,,,14,14,Apple M4 Max,,,,220017600.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,1,physical_core_region,625.4456533,0.9070046209,0.9070046209,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,1,physical_core_region,932.872792,0.6081023078,0.6081023078,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,2,physical_core_region,429.3966947,1.321114263,0.6605571313,PASS,,,14,14,Apple M4 Max,,,,0.0,7.469762396e-18
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,2,physical_core_region,321.6595,1.763610581,0.8818052905,PASS,,,14,14,Apple M4 Max,,,,440035200.0,8.298033569e-18
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,2,physical_core_region,330.0738753,1.718651914,0.8593259571,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,2,physical_core_region,489.707097,1.15841102,0.5792055099,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,3,physical_core_region,293.2564447,1.934423294,0.6448077647,PASS,,,14,14,Apple M4 Max,,,,0.0,1.368603269e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_private_csr,3,physical_core_region,224.444917,2.527489173,0.842496391,PASS,,,14,14,Apple M4 Max,,,,660052800.0,1.296852184e-17
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_row_owner,3,physical_core_region,248.7256807,2.280754026,0.7602513422,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_graph_coloring,3,physical_core_region,360.875389,1.571961167,0.5239870557,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,pgsa-cross-platform-v1,apple-m4-max,performance_core_only,Performance QoS: QoS-biased sensitivity run; not hard-pinned core affinity. normal foreground/default scheduling; thread range limited to detected P-core count.,cpu_atomic,4,physical_core_region,239.933875,2.364326828,0.5910817071,PASS,,,14,14,Apple M4 Max,,,,0.0,1.688695025e-17
