schema_version,platform_id,run_profile,profile_note,env_group,case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,1,1,"physical_core_region","Apple M4 Max",14,14,1,8.4e-05,570.406167,570.406167,570.406167,570.406167,570.406167,0,570.406167,570.406167,570.406167,0,0.8139749548,0.8139749548,1.47263485e-07,0,0,0,2581.78125,0,0,0,0,0,0,570.406167,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,1,1,"physical_core_region","Apple M4 Max",14,14,1,10.610833,472.869666,483.480499,472.869666,472.869666,472.869666,0,483.480499,483.480499,483.480499,0,0.9818695666,0.9818695666,0.02194676522,0,0,220017600,2791.640625,0,10.610833,0,0,2.654083,0,460.400042,0,0,9.815541,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_lock_guard,1,1,"physical_core_region","Apple M4 Max",14,14,1,89.373708,2647.030792,2736.4045,2647.030792,2647.030792,2647.030792,0,2736.4045,2736.4045,2736.4045,0,0.1754026947,0.1754026947,0.03266100023,0,0,1760140800,4470.28125,0,89.373708,0,0,0,0,2647.030792,0,0,0,PASS,"","std::lock_guard<std::mutex>; granularity=per_entry","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,2,2,"physical_core_region","Apple M4 Max",14,14,1,0,342.781542,342.781542,342.781542,342.781542,342.781542,0,342.781542,342.781542,342.781542,0,1.354496311,0.6772481553,0,9.214644908e-18,0.0048828125,0,4470.375,0,0,0,0,0,0,342.781542,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,2,2,"physical_core_region","Apple M4 Max",14,14,1,19.01,270.611,289.621,270.611,270.611,270.611,0,289.621,289.621,289.621,0,1.715733411,0.8578667053,0.06563750557,8.298033569e-18,0.0029296875,440035200,4890.046875,0,19.01,0,0,4.64575,0,261.416916,0,0,4.548334,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_lock_guard,2,2,"physical_core_region","Apple M4 Max",14,14,1,29.222,1373.592292,1402.814292,1373.592292,1373.592292,1373.592292,0,1402.814292,1402.814292,1402.814292,0,0.3380161178,0.1690080589,0.02083098252,8.327140003e-18,0.00390625,1760140800,4890.0625,0,29.222,0,0,0,0,1373.592292,0,0,0,PASS,"","std::lock_guard<std::mutex>; granularity=per_entry","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,3,3,"physical_core_region","Apple M4 Max",14,14,1,8.4e-05,273.507042,273.507042,273.507042,273.507042,273.507042,0,273.507042,273.507042,273.507042,0,1.697566288,0.5658554293,3.071218912e-07,1.433112231e-17,0.005859375,0,4890.0625,0,0,0,0,0,0,273.507042,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,3,3,"physical_core_region","Apple M4 Max",14,14,1,35.713458,225.385959,261.099417,225.385959,225.385959,225.385959,0,261.099417,261.099417,261.099417,0,2.060005584,0.6866685279,0.1367810714,1.296852184e-17,0.0048828125,660052800,5289.75,0,35.713458,0,0,7.469417,0,207.271708,0,0,10.644834,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_lock_guard,3,3,"physical_core_region","Apple M4 Max",14,14,1,29.14075,970.974,1000.11475,970.974,970.974,970.974,0,1000.11475,1000.11475,1000.11475,0,0.4781758667,0.1593919556,0.02913740648,1.372032193e-17,0.005859375,1760140800,5289.75,0,29.14075,0,0,0,0,970.974,0,0,0,PASS,"","std::lock_guard<std::mutex>; granularity=per_entry","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
"pgsa-cross-platform-v2-raw","apple-m4-max","full_host","","mentor_action_items","3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,4,4,"physical_core_region","Apple M4 Max",14,14,1,4.1e-05,203.832542,203.832542,203.832542,203.832542,203.832542,0,203.832542,203.832542,203.832542,0,2.277832232,0.5694580579,2.01145507e-07,1.729083609e-17,0.005859375,0,5289.75,0,0,0,0,0,0,203.832542,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","","",""
