case_name,mesh,element_type,kernel,nodes,elements,dofs,mode,numeric_backend,threads,assemblies_per_symbolic,symbolic_builds,symbolic_csr_ms,symbolic_plan_ms,symbolic_total_ms,symbolic_temporary_bytes,numeric_ms,direct_generate_ms,direct_bucket_merge_ms,direct_sort_reduce_ms,amortized_total_ms,symbolic_gain_vs_direct,rel_l2,max_abs,csr_bytes,plan_bytes,direct_transient_bytes,platform,cpu_model,physical_cores,logical_cores
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,symbolic_reuse_serial,cpu_serial,1,1,1,1472.311375,1156.292459,2628.603834,0,463.691958,0,0,0,3092.295792,1.682602296,0,0,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,symbolic_rebuild_serial,cpu_serial,1,1,1,1706.02875,1281.56475,2987.5935,0,437.8405,0,0,0,3425.434,1.518961977,0,0,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_serial,none,1,1,0,0,0,0,0,0,564.053,0,4639.051,5203.104,1,1.614852222e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,1,1,0,0,0,0,0,0,589.991333,896.381292,5085.481417,6571.854042,1,1.614852222e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,1,1,1,1667.843459,1161.610208,2829.453667,149752608,544.796333,0,0,0,3374.25,1.947648823,0,0,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,1,1,1,1615.768208,1133.571875,2749.340083,149752608,447.698875,0,0,0,3197.038958,2.055606493,0,0,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,1,1,1,1653.979542,1129.419458,2783.399,149752608,2140.447333,0,0,0,4923.846333,1.334699257,0,0,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,2,1,0,0,0,0,0,0,306.574375,831.920667,2391.741875,3530.236917,1,1.613861245e-16,0.0078125,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,2,1,1,1332.970167,636.769958,1969.740125,149752608,303.324625,0,0,0,2273.06475,1.553073628,9.041643804e-18,0.00390625,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,2,1,1,1342.785666,636.830792,1979.616458,149752608,250.883333,0,0,0,2230.499791,1.582711162,8.298033569e-18,0.0029296875,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,2,1,1,1338.610084,621.0135,1959.623584,149752608,1297.784834,0,0,0,3257.408418,1.083756307,9.193984543e-18,0.00390625,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,3,1,0,0,0,0,0,0,236.889666,862.564792,1928.327167,3027.781625,1,1.615027987e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,3,1,1,1402.861833,514.85475,1917.716583,149752608,251.636625,0,0,0,2169.353208,1.395707077,1.422411502e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,3,1,1,1432.129709,486.228166,1918.357875,149752608,199.075625,0,0,0,2117.4335,1.429929972,1.296852184e-17,0.0048828125,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,3,1,1,1455.540625,491.12325,1946.663875,149752608,956.550792,0,0,0,2903.214667,1.042906561,1.362144354e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,4,1,0,0,0,0,0,0,196.194167,893.910958,1429.373042,2519.478167,1,1.614350869e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,4,1,1,638.298125,350.756417,989.054542,149752608,185.161458,0,0,0,1174.216,2.145668401,1.758409928e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,4,1,1,647.934125,333.654417,981.588542,149752608,146.588709,0,0,0,1128.177251,2.233229011,1.621461041e-17,0.0048828125,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,4,1,1,608.105833,337.25375,945.359583,149752608,763.189291,0,0,0,1708.548874,1.474630434,1.740008051e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,5,1,0,0,0,0,0,0,155.433708,746.658708,1074.077167,1976.169583,1,1.61612776e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,5,1,1,545.612875,284.850875,830.46375,149752608,161.893334,0,0,0,992.357084,1.991389606,9.154418553e-17,0.0068359375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,5,1,1,507.477875,283.328958,790.806833,149752608,129.688083,0,0,0,920.494916,2.146855511,6.933680511e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,5,1,1,508.394291,283.656792,792.051083,149752608,621.545916,0,0,0,1413.596999,1.397972396,9.15442381e-17,0.0068359375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,6,1,0,0,0,0,0,0,133.320875,875.699208,1073.402083,2082.422166,1,1.616128156e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,6,1,1,495.431084,244.298208,739.729292,149752608,141.753375,0,0,0,881.482667,2.362408524,1.453788217e-17,0.0048828125,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,6,1,1,451.015666,257.960584,708.97625,149752608,120.775417,0,0,0,829.751667,2.50969326,1.413851997e-17,0.0048828125,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,6,1,1,476.9245,234.889708,711.814208,149752608,534.941709,0,0,0,1246.755917,1.670272535,1.443240534e-17,0.00390625,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,7,1,0,0,0,0,0,0,124.679584,768.317666,862.585125,1755.582375,1,1.614129901e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,7,1,1,411.43,225.582291,637.012291,149752608,134.374166,0,0,0,771.386457,2.275879177,1.090329546e-16,0.0068359375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,7,1,1,429.691375,220.611125,650.3025,149752608,124.044167,0,0,0,774.346667,2.267178836,8.268687012e-17,0.0048828125,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,7,1,1,437.458833,234.80875,672.267583,149752608,479.224834,0,0,0,1151.492417,1.524614795,1.090339297e-16,0.0068359375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,8,1,0,0,0,0,0,0,107.516416,774.296375,761.182334,1642.995125,1,1.614049172e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,8,1,1,377.166334,189.277208,566.443542,149752608,118.43425,0,0,0,684.877792,2.398961018,9.817862511e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,8,1,1,387.758791,196.41425,584.173041,149752608,99.818084,0,0,0,683.991125,2.402070824,7.391654287e-17,0.0048828125,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,8,1,1,376.823666,185.80475,562.628416,149752608,424.197625,0,0,0,986.826041,1.664928829,9.815001657e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,9,1,0,0,0,0,0,0,108.116375,664.423625,709.393,1481.933,1,1.616927266e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,9,1,1,398.439458,179.577667,578.017125,149752608,110.916667,0,0,0,688.933792,2.151052855,1.16464639e-16,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,9,1,1,393.047584,179.97325,573.020834,149752608,107.512125,0,0,0,680.532959,2.177606507,8.849359086e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,9,1,1,484.288042,179.632125,663.920167,149752608,387.889166,0,0,0,1051.809333,1.408936918,1.163990309e-16,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,10,1,0,0,0,0,0,0,100.72475,688.147875,567.029875,1355.9025,1,1.617594605e-16,0.005859375,0,0,2565927936,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,10,1,1,489.942709,167.818833,657.761542,149752608,101.82775,0,0,0,759.589292,1.785046886,1.282681437e-16,0.0068359375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,10,1,1,441.576917,164.859333,606.43625,149752608,101.800041,0,0,0,708.236291,1.914477579,9.69392873e-17,0.005859375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,10,1,1,441.62725,167.985333,609.612583,149752608,354.95875,0,0,0,964.571333,1.405704745,1.282588729e-16,0.0068359375,332767012,699393556,0,"macOS;arm64;Clang 21.0.0 (clang-2100.1.1.101);OpenMP 202011","Apple M4 Max",14,14
