case_name,mesh,element_type,kernel,nodes,elements,dofs,mode,numeric_backend,threads,strategy_label,assemblies_per_symbolic,symbolic_builds,symbolic_csr_ms,symbolic_plan_ms,symbolic_total_ms,symbolic_temporary_bytes,numeric_ms,direct_generate_ms,direct_bucket_merge_ms,direct_sort_reduce_ms,amortized_total_ms,symbolic_gain_vs_direct,rel_l2,max_abs,csr_bytes,plan_bytes,symbolic_persistent_bytes,common_output_matrix_bytes,numeric_backend_extra_bytes,direct_transient_bytes,estimated_peak_bytes,delta_vs_serial_symbolic_serial_numeric_bytes,isolated_peak_rss_mb,platform,cpu_model,physical_cores,logical_cores
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,symbolic_reuse_serial,cpu_serial,1,serial_symbolic_serial_numeric,1,1,2175.201991,1451.821865,3627.023856,0,759.406459,0,0,0,4386.430315,0,0,0,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2782.949219,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,1,direct_no_symbolic_background,1,0,0,0,0,0,0,1784.815123,987.427314,7441.037258,10213.27969,1,1.616398827e-16,0.005859375,332767012,0,0,332767012,0,2565927936,2898694948,1533767368,6053.226562,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_atomic,1,serial_symbolic_parallel_numeric,1,1,2129.832623,1402.442787,3532.27541,0,1299.407994,0,0,0,4831.683404,0,0,0,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2572.808594,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,1,parallel_symbolic_parallel_numeric,1,1,2035.051235,1504.439538,3539.490773,149752608,1291.380888,0,0,0,4830.871661,0,0,0,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2698.664062,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_private_csr,1,serial_symbolic_parallel_numeric,1,1,2110.467808,1381.304604,3491.772412,0,734.104616,0,0,0,4225.877028,0,0,0,332767012,699393556,1032160568,332767012,220017600,0,1584945180,220017600,2887.777344,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,1,parallel_symbolic_parallel_numeric,1,1,2045.003073,1507.996056,3552.999129,149752608,731.931563,0,0,0,4284.930692,0,0,0,332767012,699393556,1032160568,332767012,220017600,0,1584945180,220017600,2908.453125,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_lock_guard,1,serial_symbolic_parallel_numeric,1,1,2154.799183,1407.411832,3562.211015,0,2495.773785,0,0,0,6057.9848,0,0,0,332767012,699393556,1032160568,332767012,1100088000,0,2465015580,1100088000,3621.882812,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,1,parallel_symbolic_parallel_numeric,1,1,2087.790516,1571.596909,3659.387425,149752608,2664.906384,0,0,0,6324.293809,0,0,0,332767012,699393556,1032160568,332767012,1100088000,0,2465015580,1100088000,3747.664062,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,direct_no_symbolic_parallel,none,2,direct_no_symbolic_background,1,0,0,0,0,0,0,918.971264,1402.748637,3797.334484,6119.054385,1,1.618126249e-16,0.005859375,332767012,0,0,332767012,0,2565927936,2898694948,1533767368,6052.628906,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_atomic,2,serial_symbolic_parallel_numeric,1,1,2153.137779,1419.702664,3572.840443,0,699.364305,0,0,0,4272.204748,0,7.257717196e-18,0.00390625,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2572.824219,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,2,parallel_symbolic_parallel_numeric,1,1,1271.779792,918.714946,2190.494738,149752608,680.995187,0,0,0,2871.489925,0,9.281516783e-18,0.0048828125,332767012,699393556,1032160568,332767012,0,0,1364927580,0,3088.792969,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
