case_name,mesh,element_type,stiffness_model,kernel,nodes,elements,dofs,mode,numeric_backend,threads,strategy_label,assemblies_per_symbolic,symbolic_builds,symbolic_csr_ms,symbolic_plan_ms,symbolic_total_ms,symbolic_temporary_bytes,numeric_ms,direct_generate_ms,direct_bucket_merge_ms,direct_sort_reduce_ms,amortized_total_ms,symbolic_gain_vs_direct,rel_l2,max_abs,csr_bytes,plan_bytes,symbolic_persistent_bytes,common_output_matrix_bytes,numeric_backend_extra_bytes,direct_transient_bytes,estimated_peak_bytes,delta_vs_serial_symbolic_serial_numeric_bytes,isolated_peak_rss_mb,platform,cpu_model,physical_cores,logical_cores
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,symbolic_reuse_serial,cpu_serial,1,serial_symbolic_serial_numeric,1,1,2061.114005,1353.95272,3415.066725,0,679.89669,0,0,0,4094.963415,0,0,0,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2783.062500,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,direct_no_symbolic_parallel,none,1,direct_no_symbolic_background,1,0,0,0,0,0,0,1744.381289,943.443498,7255.970234,9943.795021,1,1.616398827e-16,0.005859375,332767012,0,0,332767012,0,2565927936,2898694948,1533767368,6053.281250,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_atomic,1,serial_symbolic_parallel_numeric,1,1,2106.901312,1381.556998,3488.45831,0,1251.813783,0,0,0,4740.272093,0,0,0,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2572.707031,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,1,parallel_symbolic_parallel_numeric,1,1,1979.792778,1466.849548,3446.642326,149752608,1189.983995,0,0,0,4636.626321,0,0,0,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2698.664062,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_private_csr,1,serial_symbolic_parallel_numeric,1,1,2086.409379,1370.287047,3456.696426,0,722.344111,0,0,0,4179.040537,0,0,0,332767012,699393556,1032160568,332767012,220017600,0,1584945180,220017600,2782.511719,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,1,parallel_symbolic_parallel_numeric,1,1,2010.791354,1493.611924,3504.403278,149752608,707.672368,0,0,0,4212.075646,0,0,0,332767012,699393556,1032160568,332767012,220017600,0,1584945180,220017600,2908.460938,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_lock_guard,1,serial_symbolic_parallel_numeric,1,1,2090.993219,1355.149963,3446.143182,0,2421.641184,0,0,0,5867.784366,0,0,0,332767012,699393556,1032160568,332767012,1100088000,0,2465015580,1100088000,3621.964844,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,1,parallel_symbolic_parallel_numeric,1,1,1988.941421,1484.100331,3473.041752,149752608,2451.607979,0,0,0,5924.649731,0,0,0,332767012,699393556,1032160568,332767012,1100088000,0,2465015580,1100088000,3747.605469,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,direct_no_symbolic_parallel,none,2,direct_no_symbolic_background,1,0,0,0,0,0,0,910.831339,1349.686139,3753.114272,6013.63175,1,1.618126249e-16,0.005859375,332767012,0,0,332767012,0,2565927936,2898694948,1533767368,6052.316406,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_atomic,2,serial_symbolic_parallel_numeric,1,1,2083.641534,1366.703078,3450.344612,0,659.881149,0,0,0,4110.225761,0,7.159105127e-18,0.00390625,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2572.578125,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,parallel_symbolic_reuse,cpu_atomic,2,parallel_symbolic_parallel_numeric,1,1,1185.566653,865.469482,2051.036135,149752608,636.071045,0,0,0,2687.10718,0,9.165866943e-18,0.0048828125,332767012,699393556,1032160568,332767012,0,0,1364927580,0,3088.929688,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_private_csr,2,serial_symbolic_parallel_numeric,1,1,2084.996808,1339.326824,3424.323632,0,442.915621,0,0,0,3867.239253,0,8.361934979e-18,0.00390625,332767012,699393556,1032160568,332767012,440035200,0,1804962780,440035200,2992.281250,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,parallel_symbolic_reuse,cpu_private_csr,2,parallel_symbolic_parallel_numeric,1,1,1165.779121,861.078196,2026.857317,149752608,426.706601,0,0,0,2453.563918,0,8.361934979e-18,0.00390625,332767012,699393556,1032160568,332767012,440035200,0,1804962780,440035200,3508.535156,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_lock_guard,2,serial_symbolic_parallel_numeric,1,1,2114.695357,1382.938392,3497.633749,0,1770.591253,0,0,0,5268.225002,0,7.377027372e-18,0.00390625,332767012,699393556,1032160568,332767012,1100088000,0,2465015580,1100088000,3621.718750,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,parallel_symbolic_reuse,cpu_lock_guard,2,parallel_symbolic_parallel_numeric,1,1,1180.268368,870.679364,2050.947732,149752608,1725.192477,0,0,0,3776.140209,0,8.421745225e-18,0.00390625,332767012,699393556,1032160568,332767012,1100088000,0,2465015580,1100088000,4138.179688,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,direct_no_symbolic_parallel,none,3,direct_no_symbolic_background,1,0,0,0,0,0,0,2299.832653,1207.927464,2665.281905,6173.042022,1,1.61645406e-16,0.005859375,332767012,0,0,332767012,0,2565927936,2898694948,1533767368,5236.062500,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,linear_elastic_solid,linear_elastic_solid,228384,1113684,685152,serial_symbolic_parallel_numeric,cpu_atomic,3,serial_symbolic_parallel_numeric,1,1,2089.451076,1347.251809,3436.702885,0,471.854552,0,0,0,3908.557437,0,1.368876001e-17,0.005859375,332767012,699393556,1032160568,332767012,0,0,1364927580,0,2572.566406,Linux;x86_64;GCC 13.3;OpenMP 201511,Intel(R) Core(TM) Ultra 7 265KF,20,20
