strategy,mode,backend,threads,symbolic_total_ms,numeric_ms,direct_generate_ms,direct_bucket_merge_ms,direct_sort_reduce_ms,amortized_total_ms,estimated_peak_gib,peak_working_set_gib,peak_private_bytes_gib,matrix_status
serial_symbolic_serial_numeric,symbolic_reuse_serial,cpu_serial,1,3398.3233,679.9403,0.0,0.0,0.0,4078.2636,1.2711878679692745,2.2568778994140626,2.29601287890625,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,1,0.0,0.0,1009.7333,602.4645,6405.1707,8017.3685,2.6996200419962406,5.453899383789063,5.501853943359375,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,1,3571.6623,1345.1485,0.0,0.0,0.0,4916.8108,1.2711878679692745,2.25692367578125,2.2962112421875,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,1,3583.513,1459.7812,0.0,0.0,0.0,5043.2942,1.2711878679692745,2.2570953369140625,2.2963066103515626,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,2,0.0,0.0,719.1667,843.3882,3726.9498,5289.5047,2.6996200419962406,5.453330994140625,6.699134826171875,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,2,3653.8816,877.3966,0.0,0.0,0.0,4531.2782,1.2711878679692745,2.256996154296875,2.296268462890625,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,2,2445.4758,821.9291,0.0,0.0,0.0,3267.4049,1.2711878679692745,2.2572479248046875,2.2965240478515625,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,3,0.0,0.0,505.5603,884.8033,3020.5141,4410.8777,2.6996200419962406,4.656322479492188,6.300128936523437,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,3,3513.943,534.0595,0.0,0.0,0.0,4048.0025,1.2711878679692745,2.256980896484375,2.296226501953125,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,3,1674.5366,534.0669,0.0,0.0,0.0,2208.6035,1.2711878679692745,2.2580413818359375,2.2973823544921874,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,4,0.0,0.0,415.6155,953.6046,2343.9957,3713.2158,2.6996200419962406,4.258129120117188,6.101104736328125,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,4,3351.0453,422.8816,0.0,0.0,0.0,3773.9269,1.2711878679692745,2.25704574609375,2.29632568359375,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,4,1358.1828,421.8101,0.0,0.0,0.0,1779.9929,1.2711878679692745,2.2608108515625,2.300392150390625,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,5,0.0,0.0,304.3642,810.9559,1842.2017,2957.5218,2.6996200419962406,3.9993476865234374,5.957466125,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,5,3359.0973,358.001,0.0,0.0,0.0,3717.0983,1.2711878679692745,2.2569847109375,2.296363830078125,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,5,1146.9174,349.27,0.0,0.0,0.0,1496.1874,1.2711878679692745,2.2591552734375,2.298709869140625,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,6,0.0,0.0,271.6432,616.1945,1593.4564,2481.2941,2.6996200419962406,3.8604888916015625,6.300312041992187,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,6,3543.3845,313.7679,0.0,0.0,0.0,3857.1524,1.2711878679692745,2.257080078125,2.296409607421875,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,6,1032.8509,309.1647,0.0,0.0,0.0,1342.0156,1.2711878679692745,2.2614288330078125,2.301048279296875,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,7,0.0,0.0,240.0205,661.538,1335.3053,2236.8638,2.6996200419962406,3.7361106875,5.502178192382813,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,7,3514.2011,285.1022,0.0,0.0,0.0,3799.3033,1.2711878679692745,2.257041931640625,2.296443939453125,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,7,929.8142,273.7783,0.0,0.0,0.0,1203.5925,1.2711878679692745,2.2633857724609374,2.3030853271484375,PASS
direct_no_symbolic_background,direct_no_symbolic_parallel,none,8,0.0,0.0,202.9502,684.1595,1259.8494,2146.9591,2.6996200419962406,3.6482353212890626,5.799121856445312,PASS
serial_symbolic_parallel_numeric,serial_symbolic_parallel_numeric,cpu_atomic,8,3771.2801,251.5625,0.0,0.0,0.0,4022.8426,1.2711878679692745,2.2570610048828126,2.2964591982421876,PASS
parallel_symbolic_parallel_numeric,parallel_symbolic_reuse,cpu_atomic,8,885.531,247.8695,0.0,0.0,0.0,1133.4005,1.2711878679692745,2.26046371484375,2.3000373837890624,PASS
