case_name,mesh,element_type,stiffness_model,kernel,algorithm,threads,status,skip_reason,repeat_count,rel_l2,max_abs,measurement_mode,symbolic_ms_mean,symbolic_ms_min,symbolic_ms_max,symbolic_ms_std,numeric_ms_mean,numeric_ms_min,numeric_ms_max,numeric_ms_std,symbolic_numeric_total_ms_mean,symbolic_numeric_total_ms_min,symbolic_numeric_total_ms_max,symbolic_numeric_total_ms_std,isolated_peak_rss_mb_mean,isolated_peak_rss_mb_min,isolated_peak_rss_mb_max,isolated_peak_rss_mb_std
3d-WindTurbineHub,3d-WindTurbineHub,Tet4,physics_tet4,physics_tet4,cpu_serial,1,PASS,,3,0,0,isolated,3578.118627,3564.437312,3586.981912,9.814099107,685.9342257,682.55441,690.576525,3.394503501,4264.052853,4249.109054,4277.558437,11.65885057,2045.580729,2045.542969,2045.640625,0.04283031108
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,2,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,3,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,4,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,5,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,6,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,7,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,8,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,9,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,10,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,11,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,12,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,13,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,14,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,15,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,16,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,17,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,18,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,19,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
3d-WindTurbineHub,3d-WindTurbineHub,,physics_tet4,physics_tet4,cpu_serial,20,SKIP,NOT_APPLICABLE,0,,,isolated,,,,,,,,,,,,,,,,
